,Q
10,"[0.01106741 0.02213482 0.03320223 0.04426964 0.05533705 0.06640446
 0.07747188 0.08853929 0.0996067  0.11067411 0.12174152 0.13280893
 0.14387634 0.15494375 0.16601116 0.17707857 0.18814598 0.19921339
 0.21028081 0.22134822 0.23241563 0.24348304 0.25455045 0.26561786
 0.27668527 0.28775268 0.29882009 0.3098875  0.32095491 0.33202232
 0.34308974 0.35415715 0.36522456 0.37629197 0.38735938 0.39842679
 0.4094942  0.42056161 0.43162902 0.44269643 0.45376384 0.46483125
 0.47589867 0.48696608 0.49803349 0.5091009  0.52016831 0.53123572
 0.54230313 0.55337054 0.56443795 0.57550536 0.58657277 0.59764018
 0.6087076  0.61977501 0.63084242 0.64190983 0.65297724 0.66404465
 0.67511206 0.68617947 0.69724688 0.70831429 0.7193817  0.73044911
 0.74151653 0.75258394 0.76365135 0.77471876 0.78578617 0.79685358
 0.80792099 0.8189884  0.83005581 0.84112322 0.85219063 0.86325804
 0.87432546 0.88539287 0.89646028 0.90752769 0.9185951  0.92966251
 0.94072992 0.95179733 0.96286474 0.97393215 0.98499956 0.99606697
 1.00713438 1.0182018  1.02926921 1.04033662 1.05140403 1.06247144
 1.07353885 1.08460626 1.09567367 1.10674108]"
11,"[0.01105928 0.02211856 0.03317784 0.04423712 0.0552964  0.06635567
 0.07741495 0.08847423 0.09953351 0.11059279 0.12165207 0.13271135
 0.14377063 0.15482991 0.16588919 0.17694847 0.18800775 0.19906702
 0.2101263  0.22118558 0.23224486 0.24330414 0.25436342 0.2654227
 0.27648198 0.28754126 0.29860054 0.30965982 0.32071909 0.33177837
 0.34283765 0.35389693 0.36495621 0.37601549 0.38707477 0.39813405
 0.40919333 0.42025261 0.43131189 0.44237116 0.45343044 0.46448972
 0.475549   0.48660828 0.49766756 0.50872684 0.51978612 0.5308454
 0.54190468 0.55296396 0.56402324 0.57508251 0.58614179 0.59720107
 0.60826035 0.61931963 0.63037891 0.64143819 0.65249747 0.66355675
 0.67461603 0.68567531 0.69673458 0.70779386 0.71885314 0.72991242
 0.7409717  0.75203098 0.76309026 0.77414954 0.78520882 0.7962681
 0.80732738 0.81838666 0.82944593 0.84050521 0.85156449 0.86262377
 0.87368305 0.88474233 0.89580161 0.90686089 0.91792017 0.92897945
 0.94003873 0.951098   0.96215728 0.97321656 0.98427584 0.99533512
 1.0063944  1.01745368 1.02851296 1.03957224 1.05063152 1.0616908
 1.07275007 1.08380935 1.09486863 1.10592791]"
12,"[0.01105128 0.02210256 0.03315383 0.04420511 0.05525639 0.06630767
 0.07735894 0.08841022 0.0994615  0.11051278 0.12156405 0.13261533
 0.14366661 0.15471789 0.16576916 0.17682044 0.18787172 0.198923
 0.20997427 0.22102555 0.23207683 0.24312811 0.25417939 0.26523066
 0.27628194 0.28733322 0.2983845  0.30943577 0.32048705 0.33153833
 0.34258961 0.35364088 0.36469216 0.37574344 0.38679472 0.39784599
 0.40889727 0.41994855 0.43099983 0.4420511  0.45310238 0.46415366
 0.47520494 0.48625622 0.49730749 0.50835877 0.51941005 0.53046133
 0.5415126  0.55256388 0.56361516 0.57466644 0.58571771 0.59676899
 0.60782027 0.61887155 0.62992282 0.6409741  0.65202538 0.66307666
 0.67412793 0.68517921 0.69623049 0.70728177 0.71833305 0.72938432
 0.7404356  0.75148688 0.76253816 0.77358943 0.78464071 0.79569199
 0.80674327 0.81779454 0.82884582 0.8398971  0.85094838 0.86199965
 0.87305093 0.88410221 0.89515349 0.90620476 0.91725604 0.92830732
 0.9393586  0.95040988 0.96146115 0.97251243 0.98356371 0.99461499
 1.00566626 1.01671754 1.02776882 1.0388201  1.04987137 1.06092265
 1.07197393 1.08302521 1.09407648 1.10512776]"
13,"[0.01104421 0.02208841 0.03313262 0.04417682 0.05522103 0.06626524
 0.07730944 0.08835365 0.09939785 0.11044206 0.12148627 0.13253047
 0.14357468 0.15461888 0.16566309 0.1767073  0.1877515  0.19879571
 0.20983992 0.22088412 0.23192833 0.24297253 0.25401674 0.26506095
 0.27610515 0.28714936 0.29819356 0.30923777 0.32028198 0.33132618
 0.34237039 0.35341459 0.3644588  0.37550301 0.38654721 0.39759142
 0.40863562 0.41967983 0.43072404 0.44176824 0.45281245 0.46385665
 0.47490086 0.48594507 0.49698927 0.50803348 0.51907768 0.53012189
 0.5411661  0.5522103  0.56325451 0.57429872 0.58534292 0.59638713
 0.60743133 0.61847554 0.62951975 0.64056395 0.65160816 0.66265236
 0.67369657 0.68474078 0.69578498 0.70682919 0.71787339 0.7289176
 0.73996181 0.75100601 0.76205022 0.77309442 0.78413863 0.79518284
 0.80622704 0.81727125 0.82831545 0.83935966 0.85040387 0.86144807
 0.87249228 0.88353648 0.89458069 0.9056249  0.9166691  0.92771331
 0.93875752 0.94980172 0.96084593 0.97189013 0.98293434 0.99397855
 1.00502275 1.01606696 1.02711116 1.03815537 1.04919958 1.06024378
 1.07128799 1.08233219 1.0933764  1.10442061]"
14,"[0.01103636 0.02207272 0.03310908 0.04414544 0.0551818  0.06621816
 0.07725452 0.08829088 0.09932724 0.1103636  0.12139996 0.13243632
 0.14347268 0.15450904 0.1655454  0.17658176 0.18761812 0.19865448
 0.20969084 0.2207272  0.23176356 0.24279992 0.25383628 0.26487264
 0.275909   0.28694536 0.29798172 0.30901808 0.32005444 0.3310908
 0.34212716 0.35316352 0.36419988 0.37523624 0.3862726  0.39730896
 0.40834532 0.41938168 0.43041804 0.4414544  0.45249076 0.46352712
 0.47456348 0.48559984 0.4966362  0.50767256 0.51870892 0.52974528
 0.54078164 0.551818   0.56285436 0.57389072 0.58492708 0.59596344
 0.60699981 0.61803617 0.62907253 0.64010889 0.65114525 0.66218161
 0.67321797 0.68425433 0.69529069 0.70632705 0.71736341 0.72839977
 0.73943613 0.75047249 0.76150885 0.77254521 0.78358157 0.79461793
 0.80565429 0.81669065 0.82772701 0.83876337 0.84979973 0.86083609
 0.87187245 0.88290881 0.89394517 0.90498153 0.91601789 0.92705425
 0.93809061 0.94912697 0.96016333 0.97119969 0.98223605 0.99327241
 1.00430877 1.01534513 1.02638149 1.03741785 1.04845421 1.05949057
 1.07052693 1.08156329 1.09259965 1.10363601]"
15,"[0.0110269  0.0220538  0.0330807  0.0441076  0.05513449 0.06616139
 0.07718829 0.08821519 0.09924209 0.11026899 0.12129589 0.13232279
 0.14334969 0.15437659 0.16540348 0.17643038 0.18745728 0.19848418
 0.20951108 0.22053798 0.23156488 0.24259178 0.25361868 0.26464557
 0.27567247 0.28669937 0.29772627 0.30875317 0.31978007 0.33080697
 0.34183387 0.35286077 0.36388766 0.37491456 0.38594146 0.39696836
 0.40799526 0.41902216 0.43004906 0.44107596 0.45210286 0.46312976
 0.47415665 0.48518355 0.49621045 0.50723735 0.51826425 0.52929115
 0.54031805 0.55134495 0.56237185 0.57339874 0.58442564 0.59545254
 0.60647944 0.61750634 0.62853324 0.63956014 0.65058704 0.66161394
 0.67264083 0.68366773 0.69469463 0.70572153 0.71674843 0.72777533
 0.73880223 0.74982913 0.76085603 0.77188293 0.78290982 0.79393672
 0.80496362 0.81599052 0.82701742 0.83804432 0.84907122 0.86009812
 0.87112502 0.88215191 0.89317881 0.90420571 0.91523261 0.92625951
 0.93728641 0.94831331 0.95934021 0.97036711 0.981394   0.9924209
 1.0034478  1.0144747  1.0255016  1.0365285  1.0475554  1.0585823
 1.0696092  1.0806361  1.09166299 1.10268989]"
16,"[0.01101977 0.02203954 0.03305931 0.04407908 0.05509885 0.06611862
 0.07713839 0.08815816 0.09917793 0.11019771 0.12121748 0.13223725
 0.14325702 0.15427679 0.16529656 0.17631633 0.1873361  0.19835587
 0.20937564 0.22039541 0.23141518 0.24243495 0.25345472 0.26447449
 0.27549426 0.28651403 0.2975338  0.30855357 0.31957334 0.33059312
 0.34161289 0.35263266 0.36365243 0.3746722  0.38569197 0.39671174
 0.40773151 0.41875128 0.42977105 0.44079082 0.45181059 0.46283036
 0.47385013 0.4848699  0.49588967 0.50690944 0.51792921 0.52894898
 0.53996876 0.55098853 0.5620083  0.57302807 0.58404784 0.59506761
 0.60608738 0.61710715 0.62812692 0.63914669 0.65016646 0.66118623
 0.672206   0.68322577 0.69424554 0.70526531 0.71628508 0.72730485
 0.73832462 0.7493444  0.76036417 0.77138394 0.78240371 0.79342348
 0.80444325 0.81546302 0.82648279 0.83750256 0.84852233 0.8595421
 0.87056187 0.88158164 0.89260141 0.90362118 0.91464095 0.92566072
 0.93668049 0.94770026 0.95872003 0.96973981 0.98075958 0.99177935
 1.00279912 1.01381889 1.02483866 1.03585843 1.0468782  1.05789797
 1.06891774 1.07993751 1.09095728 1.10197705]"
17,"[0.01101274 0.02202547 0.03303821 0.04405094 0.05506368 0.06607641
 0.07708915 0.08810188 0.09911462 0.11012735 0.12114009 0.13215282
 0.14316556 0.15417829 0.16519103 0.17620376 0.1872165  0.19822923
 0.20924197 0.2202547  0.23126744 0.24228017 0.25329291 0.26430565
 0.27531838 0.28633112 0.29734385 0.30835659 0.31936932 0.33038206
 0.34139479 0.35240753 0.36342026 0.374433   0.38544573 0.39645847
 0.4074712  0.41848394 0.42949667 0.44050941 0.45152214 0.46253488
 0.47354761 0.48456035 0.49557308 0.50658582 0.51759856 0.52861129
 0.53962403 0.55063676 0.5616495  0.57266223 0.58367497 0.5946877
 0.60570044 0.61671317 0.62772591 0.63873864 0.64975138 0.66076411
 0.67177685 0.68278958 0.69380232 0.70481505 0.71582779 0.72684052
 0.73785326 0.74886599 0.75987873 0.77089147 0.7819042  0.79291694
 0.80392967 0.81494241 0.82595514 0.83696788 0.84798061 0.85899335
 0.87000608 0.88101882 0.89203155 0.90304429 0.91405702 0.92506976
 0.93608249 0.94709523 0.95810796 0.9691207  0.98013343 0.99114617
 1.0021589  1.01317164 1.02418438 1.03519711 1.04620985 1.05722258
 1.06823532 1.07924805 1.09026079 1.10127352]"
18,"[0.01100508 0.02201016 0.03301523 0.04402031 0.05502539 0.06603047
 0.07703555 0.08804062 0.0990457  0.11005078 0.12105586 0.13206094
 0.14306601 0.15407109 0.16507617 0.17608125 0.18708633 0.1980914
 0.20909648 0.22010156 0.23110664 0.24211172 0.25311679 0.26412187
 0.27512695 0.28613203 0.29713711 0.30814218 0.31914726 0.33015234
 0.34115742 0.3521625  0.36316757 0.37417265 0.38517773 0.39618281
 0.40718789 0.41819296 0.42919804 0.44020312 0.4512082  0.46221328
 0.47321836 0.48422343 0.49522851 0.50623359 0.51723867 0.52824375
 0.53924882 0.5502539  0.56125898 0.57226406 0.58326914 0.59427421
 0.60527929 0.61628437 0.62728945 0.63829453 0.6492996  0.66030468
 0.67130976 0.68231484 0.69331992 0.70432499 0.71533007 0.72633515
 0.73734023 0.74834531 0.75935038 0.77035546 0.78136054 0.79236562
 0.8033707  0.81437577 0.82538085 0.83638593 0.84739101 0.85839609
 0.86940116 0.88040624 0.89141132 0.9024164  0.91342148 0.92442655
 0.93543163 0.94643671 0.95744179 0.96844687 0.97945194 0.99045702
 1.0014621  1.01246718 1.02347226 1.03447733 1.04548241 1.05648749
 1.06749257 1.07849765 1.08950272 1.1005078 ]"
19,"[0.01099822 0.02199643 0.03299465 0.04399286 0.05499108 0.06598929
 0.07698751 0.08798572 0.09898394 0.10998215 0.12098037 0.13197858
 0.1429768  0.15397501 0.16497323 0.17597145 0.18696966 0.19796788
 0.20896609 0.21996431 0.23096252 0.24196074 0.25295895 0.26395717
 0.27495538 0.2859536  0.29695181 0.30795003 0.31894825 0.32994646
 0.34094468 0.35194289 0.36294111 0.37393932 0.38493754 0.39593575
 0.40693397 0.41793218 0.4289304  0.43992861 0.45092683 0.46192504
 0.47292326 0.48392148 0.49491969 0.50591791 0.51691612 0.52791434
 0.53891255 0.54991077 0.56090898 0.5719072  0.58290541 0.59390363
 0.60490184 0.61590006 0.62689828 0.63789649 0.64889471 0.65989292
 0.67089114 0.68188935 0.69288757 0.70388578 0.714884   0.72588221
 0.73688043 0.74787864 0.75887686 0.76987507 0.78087329 0.79187151
 0.80286972 0.81386794 0.82486615 0.83586437 0.84686258 0.8578608
 0.86885901 0.87985723 0.89085544 0.90185366 0.91285187 0.92385009
 0.93484831 0.94584652 0.95684474 0.96784295 0.97884117 0.98983938
 1.0008376  1.01183581 1.02283403 1.03383224 1.04483046 1.05582867
 1.06682689 1.0778251  1.08882332 1.09982154]"
20,"[0.01096586 0.02193172 0.03289758 0.04386344 0.0548293  0.06579516
 0.07676102 0.08772689 0.09869275 0.10965861 0.12062447 0.13159033
 0.14255619 0.15352205 0.16448791 0.17545377 0.18641963 0.19738549
 0.20835135 0.21931721 0.23028307 0.24124893 0.25221479 0.26318066
 0.27414652 0.28511238 0.29607824 0.3070441  0.31800996 0.32897582
 0.33994168 0.35090754 0.3618734  0.37283926 0.38380512 0.39477098
 0.40573684 0.4167027  0.42766857 0.43863443 0.44960029 0.46056615
 0.47153201 0.48249787 0.49346373 0.50442959 0.51539545 0.52636131
 0.53732717 0.54829303 0.55925889 0.57022475 0.58119061 0.59215647
 0.60312234 0.6140882  0.62505406 0.63601992 0.64698578 0.65795164
 0.6689175  0.67988336 0.69084922 0.70181508 0.71278094 0.7237468
 0.73471266 0.74567852 0.75664438 0.76761025 0.77857611 0.78954197
 0.80050783 0.81147369 0.82243955 0.83340541 0.84437127 0.85533713
 0.86630299 0.87726885 0.88823471 0.89920057 0.91016643 0.92113229
 0.93209815 0.94306402 0.95402988 0.96499574 0.9759616  0.98692746
 0.99789332 1.00885918 1.01982504 1.0307909  1.04175676 1.05272262
 1.06368848 1.07465434 1.0856202  1.09658606]"
21,"[0.01093006 0.02186012 0.03279018 0.04372025 0.05465031 0.06558037
 0.07651043 0.08744049 0.09837055 0.10930062 0.12023068 0.13116074
 0.1420908  0.15302086 0.16395092 0.17488099 0.18581105 0.19674111
 0.20767117 0.21860123 0.22953129 0.24046136 0.25139142 0.26232148
 0.27325154 0.2841816  0.29511166 0.30604172 0.31697179 0.32790185
 0.33883191 0.34976197 0.36069203 0.37162209 0.38255216 0.39348222
 0.40441228 0.41534234 0.4262724  0.43720246 0.44813253 0.45906259
 0.46999265 0.48092271 0.49185277 0.50278283 0.5137129  0.52464296
 0.53557302 0.54650308 0.55743314 0.5683632  0.57929326 0.59022333
 0.60115339 0.61208345 0.62301351 0.63394357 0.64487363 0.6558037
 0.66673376 0.67766382 0.68859388 0.69952394 0.710454   0.72138407
 0.73231413 0.74324419 0.75417425 0.76510431 0.77603437 0.78696443
 0.7978945  0.80882456 0.81975462 0.83068468 0.84161474 0.8525448
 0.86347487 0.87440493 0.88533499 0.89626505 0.90719511 0.91812517
 0.92905524 0.9399853  0.95091536 0.96184542 0.97277548 0.98370554
 0.99463561 1.00556567 1.01649573 1.02742579 1.03835585 1.04928591
 1.06021597 1.07114604 1.0820761  1.09300616]"
