,Q
10,"[0.01068251 0.02136502 0.03204754 0.04273005 0.05341256 0.06409507
 0.07477758 0.08546009 0.09614261 0.10682512 0.11750763 0.12819014
 0.13887265 0.14955516 0.16023768 0.17092019 0.1816027  0.19228521
 0.20296772 0.21365023 0.22433275 0.23501526 0.24569777 0.25638028
 0.26706279 0.27774531 0.28842782 0.29911033 0.30979284 0.32047535
 0.33115786 0.34184038 0.35252289 0.3632054  0.37388791 0.38457042
 0.39525293 0.40593545 0.41661796 0.42730047 0.43798298 0.44866549
 0.459348   0.47003052 0.48071303 0.49139554 0.50207805 0.51276056
 0.52344307 0.53412559 0.5448081  0.55549061 0.56617312 0.57685563
 0.58753815 0.59822066 0.60890317 0.61958568 0.63026819 0.6409507
 0.65163322 0.66231573 0.67299824 0.68368075 0.69436326 0.70504577
 0.71572829 0.7264108  0.73709331 0.74777582 0.75845833 0.76914084
 0.77982336 0.79050587 0.80118838 0.81187089 0.8225534  0.83323592
 0.84391843 0.85460094 0.86528345 0.87596596 0.88664847 0.89733099
 0.9080135  0.91869601 0.92937852 0.94006103 0.95074354 0.96142606
 0.97210857 0.98279108 0.99347359 1.0041561  1.01483861 1.02552113
 1.03620364 1.04688615 1.05756866 1.06825117]"
11,"[0.01069611 0.02139222 0.03208834 0.04278445 0.05348056 0.06417667
 0.07487278 0.0855689  0.09626501 0.10696112 0.11765723 0.12835334
 0.13904945 0.14974557 0.16044168 0.17113779 0.1818339  0.19253001
 0.20322613 0.21392224 0.22461835 0.23531446 0.24601057 0.25670669
 0.2674028  0.27809891 0.28879502 0.29949113 0.31018724 0.32088336
 0.33157947 0.34227558 0.35297169 0.3636678  0.37436392 0.38506003
 0.39575614 0.40645225 0.41714836 0.42784448 0.43854059 0.4492367
 0.45993281 0.47062892 0.48132504 0.49202115 0.50271726 0.51341337
 0.52410948 0.53480559 0.54550171 0.55619782 0.56689393 0.57759004
 0.58828615 0.59898227 0.60967838 0.62037449 0.6310706  0.64176671
 0.65246283 0.66315894 0.67385505 0.68455116 0.69524727 0.70594338
 0.7166395  0.72733561 0.73803172 0.74872783 0.75942394 0.77012006
 0.78081617 0.79151228 0.80220839 0.8129045  0.82360062 0.83429673
 0.84499284 0.85568895 0.86638506 0.87708118 0.88777729 0.8984734
 0.90916951 0.91986562 0.93056173 0.94125785 0.95195396 0.96265007
 0.97334618 0.98404229 0.99473841 1.00543452 1.01613063 1.02682674
 1.03752285 1.04821897 1.05891508 1.06961119]"
12,"[0.01069727 0.02139454 0.03209181 0.04278909 0.05348636 0.06418363
 0.0748809  0.08557817 0.09627544 0.10697272 0.11766999 0.12836726
 0.13906453 0.1497618  0.16045907 0.17115635 0.18185362 0.19255089
 0.20324816 0.21394543 0.2246427  0.23533998 0.24603725 0.25673452
 0.26743179 0.27812906 0.28882633 0.29952361 0.31022088 0.32091815
 0.33161542 0.34231269 0.35300996 0.36370724 0.37440451 0.38510178
 0.39579905 0.40649632 0.41719359 0.42789087 0.43858814 0.44928541
 0.45998268 0.47067995 0.48137722 0.4920745  0.50277177 0.51346904
 0.52416631 0.53486358 0.54556085 0.55625813 0.5669554  0.57765267
 0.58834994 0.59904721 0.60974448 0.62044176 0.63113903 0.6418363
 0.65253357 0.66323084 0.67392811 0.68462539 0.69532266 0.70601993
 0.7167172  0.72741447 0.73811174 0.74880902 0.75950629 0.77020356
 0.78090083 0.7915981  0.80229537 0.81299265 0.82368992 0.83438719
 0.84508446 0.85578173 0.866479   0.87717628 0.88787355 0.89857082
 0.90926809 0.91996536 0.93066263 0.94135991 0.95205718 0.96275445
 0.97345172 0.98414899 0.99484626 1.00554354 1.01624081 1.02693808
 1.03763535 1.04833262 1.05902989 1.06972717]"
13,"[0.01069561 0.02139121 0.03208682 0.04278243 0.05347803 0.06417364
 0.07486924 0.08556485 0.09626046 0.10695606 0.11765167 0.12834728
 0.13904288 0.14973849 0.16043409 0.1711297  0.18182531 0.19252091
 0.20321652 0.21391213 0.22460773 0.23530334 0.24599894 0.25669455
 0.26739016 0.27808576 0.28878137 0.29947698 0.31017258 0.32086819
 0.33156379 0.3422594  0.35295501 0.36365061 0.37434622 0.38504183
 0.39573743 0.40643304 0.41712864 0.42782425 0.43851986 0.44921546
 0.45991107 0.47060668 0.48130228 0.49199789 0.50269349 0.5133891
 0.52408471 0.53478031 0.54547592 0.55617153 0.56686713 0.57756274
 0.58825834 0.59895395 0.60964956 0.62034516 0.63104077 0.64173638
 0.65243198 0.66312759 0.67382319 0.6845188  0.69521441 0.70591001
 0.71660562 0.72730123 0.73799683 0.74869244 0.75938804 0.77008365
 0.78077926 0.79147486 0.80217047 0.81286608 0.82356168 0.83425729
 0.84495289 0.8556485  0.86634411 0.87703971 0.88773532 0.89843093
 0.90912653 0.91982214 0.93051774 0.94121335 0.95190896 0.96260456
 0.97330017 0.98399578 0.99469138 1.00538699 1.01608259 1.0267782
 1.03747381 1.04816941 1.05886502 1.06956063]"
14,"[0.01069146 0.02138292 0.03207437 0.04276583 0.05345729 0.06414875
 0.0748402  0.08553166 0.09622312 0.10691458 0.11760603 0.12829749
 0.13898895 0.14968041 0.16037187 0.17106332 0.18175478 0.19244624
 0.2031377  0.21382915 0.22452061 0.23521207 0.24590353 0.25659499
 0.26728644 0.2779779  0.28866936 0.29936082 0.31005227 0.32074373
 0.33143519 0.34212665 0.3528181  0.36350956 0.37420102 0.38489248
 0.39558394 0.40627539 0.41696685 0.42765831 0.43834977 0.44904122
 0.45973268 0.47042414 0.4811156  0.49180706 0.50249851 0.51318997
 0.52388143 0.53457289 0.54526434 0.5559558  0.56664726 0.57733872
 0.58803017 0.59872163 0.60941309 0.62010455 0.63079601 0.64148746
 0.65217892 0.66287038 0.67356184 0.68425329 0.69494475 0.70563621
 0.71632767 0.72701913 0.73771058 0.74840204 0.7590935  0.76978496
 0.78047641 0.79116787 0.80185933 0.81255079 0.82324224 0.8339337
 0.84462516 0.85531662 0.86600808 0.87669953 0.88739099 0.89808245
 0.90877391 0.91946536 0.93015682 0.94084828 0.95153974 0.96223119
 0.97292265 0.98361411 0.99430557 1.00499703 1.01568848 1.02637994
 1.0370714  1.04776286 1.05845431 1.06914577]"
15,"[0.01068853 0.02137706 0.03206558 0.04275411 0.05344264 0.06413117
 0.07481969 0.08550822 0.09619675 0.10688528 0.1175738  0.12826233
 0.13895086 0.14963939 0.16032791 0.17101644 0.18170497 0.1923935
 0.20308202 0.21377055 0.22445908 0.23514761 0.24583613 0.25652466
 0.26721319 0.27790172 0.28859024 0.29927877 0.3099673  0.32065583
 0.33134435 0.34203288 0.35272141 0.36340994 0.37409846 0.38478699
 0.39547552 0.40616405 0.41685257 0.4275411  0.43822963 0.44891816
 0.45960668 0.47029521 0.48098374 0.49167227 0.50236079 0.51304932
 0.52373785 0.53442638 0.5451149  0.55580343 0.56649196 0.57718049
 0.58786901 0.59855754 0.60924607 0.6199346  0.63062312 0.64131165
 0.65200018 0.66268871 0.67337723 0.68406576 0.69475429 0.70544282
 0.71613135 0.72681987 0.7375084  0.74819693 0.75888546 0.76957398
 0.78026251 0.79095104 0.80163957 0.81232809 0.82301662 0.83370515
 0.84439368 0.8550822  0.86577073 0.87645926 0.88714779 0.89783631
 0.90852484 0.91921337 0.9299019  0.94059042 0.95127895 0.96196748
 0.97265601 0.98334453 0.99403306 1.00472159 1.01541012 1.02609864
 1.03678717 1.0474757  1.05816423 1.06885275]"
16,"[0.0106865  0.021373   0.03205949 0.04274599 0.05343249 0.06411899
 0.07480549 0.08549198 0.09617848 0.10686498 0.11755148 0.12823798
 0.13892447 0.14961097 0.16029747 0.17098397 0.18167046 0.19235696
 0.20304346 0.21372996 0.22441646 0.23510295 0.24578945 0.25647595
 0.26716245 0.27784895 0.28853544 0.29922194 0.30990844 0.32059494
 0.33128144 0.34196793 0.35265443 0.36334093 0.37402743 0.38471393
 0.39540042 0.40608692 0.41677342 0.42745992 0.43814641 0.44883291
 0.45951941 0.47020591 0.48089241 0.4915789  0.5022654  0.5129519
 0.5236384  0.5343249  0.54501139 0.55569789 0.56638439 0.57707089
 0.58775739 0.59844388 0.60913038 0.61981688 0.63050338 0.64118988
 0.65187637 0.66256287 0.67324937 0.68393587 0.69462237 0.70530886
 0.71599536 0.72668186 0.73736836 0.74805485 0.75874135 0.76942785
 0.78011435 0.79080085 0.80148734 0.81217384 0.82286034 0.83354684
 0.84423334 0.85491983 0.86560633 0.87629283 0.88697933 0.89766583
 0.90835232 0.91903882 0.92972532 0.94041182 0.95109832 0.96178481
 0.97247131 0.98315781 0.99384431 1.0045308  1.0152173  1.0259038
 1.0365903  1.0472768  1.05796329 1.06864979]"
17,"[0.01068028 0.02136056 0.03204084 0.04272111 0.05340139 0.06408167
 0.07476195 0.08544223 0.09612251 0.10680279 0.11748306 0.12816334
 0.13884362 0.1495239  0.16020418 0.17088446 0.18156474 0.19224501
 0.20292529 0.21360557 0.22428585 0.23496613 0.24564641 0.25632669
 0.26700696 0.27768724 0.28836752 0.2990478  0.30972808 0.32040836
 0.33108864 0.34176891 0.35244919 0.36312947 0.37380975 0.38449003
 0.39517031 0.40585058 0.41653086 0.42721114 0.43789142 0.4485717
 0.45925198 0.46993226 0.48061253 0.49129281 0.50197309 0.51265337
 0.52333365 0.53401393 0.54469421 0.55537448 0.56605476 0.57673504
 0.58741532 0.5980956  0.60877588 0.61945616 0.63013643 0.64081671
 0.65149699 0.66217727 0.67285755 0.68353783 0.69421811 0.70489838
 0.71557866 0.72625894 0.73693922 0.7476195  0.75829978 0.76898006
 0.77966033 0.79034061 0.80102089 0.81170117 0.82238145 0.83306173
 0.84374201 0.85442228 0.86510256 0.87578284 0.88646312 0.8971434
 0.90782368 0.91850396 0.92918423 0.93986451 0.95054479 0.96122507
 0.97190535 0.98258563 0.99326591 1.00394618 1.01462646 1.02530674
 1.03598702 1.0466673  1.05734758 1.06802786]"
18,"[0.010673   0.021346   0.032019   0.042692   0.053365   0.064038
 0.074711   0.085384   0.096057   0.10673    0.11740299 0.12807599
 0.13874899 0.14942199 0.16009499 0.17076799 0.18144099 0.19211399
 0.20278699 0.21345999 0.22413299 0.23480599 0.24547899 0.25615199
 0.26682499 0.27749799 0.28817099 0.29884399 0.30951699 0.32018999
 0.33086299 0.34153599 0.35220898 0.36288198 0.37355498 0.38422798
 0.39490098 0.40557398 0.41624698 0.42691998 0.43759298 0.44826598
 0.45893898 0.46961198 0.48028498 0.49095798 0.50163098 0.51230398
 0.52297698 0.53364998 0.54432298 0.55499598 0.56566898 0.57634197
 0.58701497 0.59768797 0.60836097 0.61903397 0.62970697 0.64037997
 0.65105297 0.66172597 0.67239897 0.68307197 0.69374497 0.70441797
 0.71509097 0.72576397 0.73643697 0.74710997 0.75778297 0.76845597
 0.77912897 0.78980197 0.80047497 0.81114796 0.82182096 0.83249396
 0.84316696 0.85383996 0.86451296 0.87518596 0.88585896 0.89653196
 0.90720496 0.91787796 0.92855096 0.93922396 0.94989696 0.96056996
 0.97124296 0.98191596 0.99258896 1.00326196 1.01393496 1.02460796
 1.03528096 1.04595395 1.05662695 1.06729995]"
19,"[0.01066673 0.02133346 0.03200019 0.04266692 0.05333365 0.06400038
 0.0746671  0.08533383 0.09600056 0.10666729 0.11733402 0.12800075
 0.13866748 0.14933421 0.16000094 0.17066767 0.1813344  0.19200113
 0.20266786 0.21333458 0.22400131 0.23466804 0.24533477 0.2560015
 0.26666823 0.27733496 0.28800169 0.29866842 0.30933515 0.32000188
 0.33066861 0.34133534 0.35200206 0.36266879 0.37333552 0.38400225
 0.39466898 0.40533571 0.41600244 0.42666917 0.4373359  0.44800263
 0.45866936 0.46933609 0.48000282 0.49066954 0.50133627 0.512003
 0.52266973 0.53333646 0.54400319 0.55466992 0.56533665 0.57600338
 0.58667011 0.59733684 0.60800357 0.6186703  0.62933702 0.64000375
 0.65067048 0.66133721 0.67200394 0.68267067 0.6933374  0.70400413
 0.71467086 0.72533759 0.73600432 0.74667105 0.75733778 0.76800451
 0.77867123 0.78933796 0.80000469 0.81067142 0.82133815 0.83200488
 0.84267161 0.85333834 0.86400507 0.8746718  0.88533853 0.89600526
 0.90667199 0.91733871 0.92800544 0.93867217 0.9493389  0.96000563
 0.97067236 0.98133909 0.99200582 1.00267255 1.01333928 1.02400601
 1.03467274 1.04533947 1.05600619 1.06667292]"
20,"[0.01066047 0.02132094 0.03198141 0.04264188 0.05330235 0.06396282
 0.07462329 0.08528376 0.09594423 0.10660471 0.11726518 0.12792565
 0.13858612 0.14924659 0.15990706 0.17056753 0.181228   0.19188847
 0.20254894 0.21320941 0.22386988 0.23453035 0.24519082 0.25585129
 0.26651176 0.27717223 0.2878327  0.29849317 0.30915365 0.31981412
 0.33047459 0.34113506 0.35179553 0.362456   0.37311647 0.38377694
 0.39443741 0.40509788 0.41575835 0.42641882 0.43707929 0.44773976
 0.45840023 0.4690607  0.47972117 0.49038164 0.50104211 0.51170259
 0.52236306 0.53302353 0.543684   0.55434447 0.56500494 0.57566541
 0.58632588 0.59698635 0.60764682 0.61830729 0.62896776 0.63962823
 0.6502887  0.66094917 0.67160964 0.68227011 0.69293058 0.70359106
 0.71425153 0.724912   0.73557247 0.74623294 0.75689341 0.76755388
 0.77821435 0.78887482 0.79953529 0.81019576 0.82085623 0.8315167
 0.84217717 0.85283764 0.86349811 0.87415858 0.88481905 0.89547952
 0.90614    0.91680047 0.92746094 0.93812141 0.94878188 0.95944235
 0.97010282 0.98076329 0.99142376 1.00208423 1.0127447  1.02340517
 1.03406564 1.04472611 1.05538658 1.06604705]"
