,Q
10,"[0.01052362 0.02104724 0.03157087 0.04209449 0.05261811 0.06314173
 0.07366535 0.08418898 0.0947126  0.10523622 0.11575984 0.12628346
 0.13680708 0.14733071 0.15785433 0.16837795 0.17890157 0.18942519
 0.19994882 0.21047244 0.22099606 0.23151968 0.2420433  0.25256693
 0.26309055 0.27361417 0.28413779 0.29466141 0.30518503 0.31570866
 0.32623228 0.3367559  0.34727952 0.35780314 0.36832677 0.37885039
 0.38937401 0.39989763 0.41042125 0.42094488 0.4314685  0.44199212
 0.45251574 0.46303936 0.47356299 0.48408661 0.49461023 0.50513385
 0.51565747 0.52618109 0.53670472 0.54722834 0.55775196 0.56827558
 0.5787992  0.58932283 0.59984645 0.61037007 0.62089369 0.63141731
 0.64194094 0.65246456 0.66298818 0.6735118  0.68403542 0.69455904
 0.70508267 0.71560629 0.72612991 0.73665353 0.74717715 0.75770078
 0.7682244  0.77874802 0.78927164 0.79979526 0.81031889 0.82084251
 0.83136613 0.84188975 0.85241337 0.86293699 0.87346062 0.88398424
 0.89450786 0.90503148 0.9155551  0.92607873 0.93660235 0.94712597
 0.95764959 0.96817321 0.97869684 0.98922046 0.99974408 1.0102677
 1.02079132 1.03131495 1.04183857 1.05236219]"
11,"[0.01053794 0.02107589 0.03161383 0.04215177 0.05268972 0.06322766
 0.07376561 0.08430355 0.09484149 0.10537944 0.11591738 0.12645532
 0.13699327 0.14753121 0.15806916 0.1686071  0.17914504 0.18968299
 0.20022093 0.21075887 0.22129682 0.23183476 0.24237271 0.25291065
 0.26344859 0.27398654 0.28452448 0.29506242 0.30560037 0.31613831
 0.32667626 0.3372142  0.34775214 0.35829009 0.36882803 0.37936597
 0.38990392 0.40044186 0.41097981 0.42151775 0.43205569 0.44259364
 0.45313158 0.46366952 0.47420747 0.48474541 0.49528336 0.5058213
 0.51635924 0.52689719 0.53743513 0.54797307 0.55851102 0.56904896
 0.57958691 0.59012485 0.60066279 0.61120074 0.62173868 0.63227662
 0.64281457 0.65335251 0.66389045 0.6744284  0.68496634 0.69550429
 0.70604223 0.71658017 0.72711812 0.73765606 0.748194   0.75873195
 0.76926989 0.77980784 0.79034578 0.80088372 0.81142167 0.82195961
 0.83249755 0.8430355  0.85357344 0.86411139 0.87464933 0.88518727
 0.89572522 0.90626316 0.9168011  0.92733905 0.93787699 0.94841494
 0.95895288 0.96949082 0.98002877 0.99056671 1.00110465 1.0116426
 1.02218054 1.03271849 1.04325643 1.05379437]"
12,"[0.01053602 0.02107203 0.03160805 0.04214407 0.05268008 0.0632161
 0.07375212 0.08428813 0.09482415 0.10536017 0.11589618 0.1264322
 0.13696822 0.14750423 0.15804025 0.16857626 0.17911228 0.1896483
 0.20018431 0.21072033 0.22125635 0.23179236 0.24232838 0.2528644
 0.26340041 0.27393643 0.28447245 0.29500846 0.30554448 0.3160805
 0.32661651 0.33715253 0.34768855 0.35822456 0.36876058 0.3792966
 0.38983261 0.40036863 0.41090465 0.42144066 0.43197668 0.4425127
 0.45304871 0.46358473 0.47412074 0.48465676 0.49519278 0.50572879
 0.51626481 0.52680083 0.53733684 0.54787286 0.55840888 0.56894489
 0.57948091 0.59001693 0.60055294 0.61108896 0.62162498 0.63216099
 0.64269701 0.65323303 0.66376904 0.67430506 0.68484108 0.69537709
 0.70591311 0.71644913 0.72698514 0.73752116 0.74805718 0.75859319
 0.76912921 0.77966522 0.79020124 0.80073726 0.81127327 0.82180929
 0.83234531 0.84288132 0.85341734 0.86395336 0.87448937 0.88502539
 0.89556141 0.90609742 0.91663344 0.92716946 0.93770547 0.94824149
 0.95877751 0.96931352 0.97984954 0.99038556 1.00092157 1.01145759
 1.02199361 1.03252962 1.04306564 1.05360166]"
13,"[0.01053195 0.0210639  0.03159585 0.0421278  0.05265976 0.06319171
 0.07372366 0.08425561 0.09478756 0.10531951 0.11585146 0.12638341
 0.13691536 0.14744732 0.15797927 0.16851122 0.17904317 0.18957512
 0.20010707 0.21063902 0.22117097 0.23170293 0.24223488 0.25276683
 0.26329878 0.27383073 0.28436268 0.29489463 0.30542658 0.31595853
 0.32649049 0.33702244 0.34755439 0.35808634 0.36861829 0.37915024
 0.38968219 0.40021414 0.41074609 0.42127805 0.43181    0.44234195
 0.4528739  0.46340585 0.4739378  0.48446975 0.4950017  0.50553365
 0.51606561 0.52659756 0.53712951 0.54766146 0.55819341 0.56872536
 0.57925731 0.58978926 0.60032122 0.61085317 0.62138512 0.63191707
 0.64244902 0.65298097 0.66351292 0.67404487 0.68457682 0.69510878
 0.70564073 0.71617268 0.72670463 0.73723658 0.74776853 0.75830048
 0.76883243 0.77936438 0.78989634 0.80042829 0.81096024 0.82149219
 0.83202414 0.84255609 0.85308804 0.86361999 0.87415194 0.8846839
 0.89521585 0.9057478  0.91627975 0.9268117  0.93734365 0.9478756
 0.95840755 0.96893951 0.97947146 0.99000341 1.00053536 1.01106731
 1.02159926 1.03213121 1.04266316 1.05319511]"
14,"[-7.54951657e-15  1.05263719e-02  2.10527437e-02  3.15791156e-02
  4.21054875e-02  5.26318593e-02  6.31582312e-02  7.36846030e-02
  8.42109749e-02  9.47373468e-02  1.05263719e-01  1.15790090e-01
  1.26316462e-01  1.36842834e-01  1.47369206e-01  1.57895578e-01
  1.68421950e-01  1.78948322e-01  1.89474694e-01  2.00001065e-01
  2.10527437e-01  2.21053809e-01  2.31580181e-01  2.42106553e-01
  2.52632925e-01  2.63159297e-01  2.73685668e-01  2.84212040e-01
  2.94738412e-01  3.05264784e-01  3.15791156e-01  3.26317528e-01
  3.36843900e-01  3.47370271e-01  3.57896643e-01  3.68423015e-01
  3.78949387e-01  3.89475759e-01  4.00002131e-01  4.10528503e-01
  4.21054875e-01  4.31581246e-01  4.42107618e-01  4.52633990e-01
  4.63160362e-01  4.73686734e-01  4.84213106e-01  4.94739478e-01
  5.05265849e-01  5.15792221e-01  5.26318593e-01  5.36844965e-01
  5.47371337e-01  5.57897709e-01  5.68424081e-01  5.78950452e-01
  5.89476824e-01  6.00003196e-01  6.10529568e-01  6.21055940e-01
  6.31582312e-01  6.42108684e-01  6.52635055e-01  6.63161427e-01
  6.73687799e-01  6.84214171e-01  6.94740543e-01  7.05266915e-01
  7.15793287e-01  7.26319659e-01  7.36846030e-01  7.47372402e-01
  7.57898774e-01  7.68425146e-01  7.78951518e-01  7.89477890e-01
  8.00004262e-01  8.10530633e-01  8.21057005e-01  8.31583377e-01
  8.42109749e-01  8.52636121e-01  8.63162493e-01  8.73688865e-01
  8.84215236e-01  8.94741608e-01  9.05267980e-01  9.15794352e-01
  9.26320724e-01  9.36847096e-01  9.47373468e-01  9.57899840e-01
  9.68426211e-01  9.78952583e-01  9.89478955e-01  1.00000533e+00
  1.01053170e+00  1.02105807e+00  1.03158444e+00  1.04211081e+00]"
15,"[0.01052224 0.02104449 0.03156673 0.04208898 0.05261122 0.06313346
 0.07365571 0.08417795 0.0947002  0.10522244 0.11574468 0.12626693
 0.13678917 0.14731141 0.15783366 0.1683559  0.17887815 0.18940039
 0.19992263 0.21044488 0.22096712 0.23148937 0.24201161 0.25253385
 0.2630561  0.27357834 0.28410059 0.29462283 0.30514507 0.31566732
 0.32618956 0.33671181 0.34723405 0.35775629 0.36827854 0.37880078
 0.38932302 0.39984527 0.41036751 0.42088976 0.431412   0.44193424
 0.45245649 0.46297873 0.47350098 0.48402322 0.49454546 0.50506771
 0.51558995 0.5261122  0.53663444 0.54715668 0.55767893 0.56820117
 0.57872341 0.58924566 0.5997679  0.61029015 0.62081239 0.63133463
 0.64185688 0.65237912 0.66290137 0.67342361 0.68394585 0.6944681
 0.70499034 0.71551259 0.72603483 0.73655707 0.74707932 0.75760156
 0.76812381 0.77864605 0.78916829 0.79969054 0.81021278 0.82073502
 0.83125727 0.84177951 0.85230176 0.862824   0.87334624 0.88386849
 0.89439073 0.90491298 0.91543522 0.92595746 0.93647971 0.94700195
 0.9575242  0.96804644 0.97856868 0.98909093 0.99961317 1.01013542
 1.02065766 1.0311799  1.04170215 1.05222439]"
16,"[0.01051723 0.02103447 0.0315517  0.04206893 0.05258617 0.0631034
 0.07362063 0.08413787 0.0946551  0.10517233 0.11568957 0.1262068
 0.13672404 0.14724127 0.1577585  0.16827574 0.17879297 0.1893102
 0.19982744 0.21034467 0.2208619  0.23137914 0.24189637 0.2524136
 0.26293084 0.27344807 0.2839653  0.29448254 0.30499977 0.315517
 0.32603424 0.33655147 0.3470687  0.35758594 0.36810317 0.3786204
 0.38913764 0.39965487 0.41017211 0.42068934 0.43120657 0.44172381
 0.45224104 0.46275827 0.47327551 0.48379274 0.49430997 0.50482721
 0.51534444 0.52586167 0.53637891 0.54689614 0.55741337 0.56793061
 0.57844784 0.58896507 0.59948231 0.60999954 0.62051677 0.63103401
 0.64155124 0.65206848 0.66258571 0.67310294 0.68362018 0.69413741
 0.70465464 0.71517188 0.72568911 0.73620634 0.74672358 0.75724081
 0.76775804 0.77827528 0.78879251 0.79930974 0.80982698 0.82034421
 0.83086144 0.84137868 0.85189591 0.86241314 0.87293038 0.88344761
 0.89396485 0.90448208 0.91499931 0.92551655 0.93603378 0.94655101
 0.95706825 0.96758548 0.97810271 0.98861995 0.99913718 1.00965441
 1.02017165 1.03068888 1.04120611 1.05172335]"
17,"[0.01051001 0.02102001 0.03153002 0.04204003 0.05255003 0.06306004
 0.07357004 0.08408005 0.09459006 0.10510006 0.11561007 0.12612008
 0.13663008 0.14714009 0.15765009 0.1681601  0.17867011 0.18918011
 0.19969012 0.21020013 0.22071013 0.23122014 0.24173015 0.25224015
 0.26275016 0.27326016 0.28377017 0.29428018 0.30479018 0.31530019
 0.3258102  0.3363202  0.34683021 0.35734022 0.36785022 0.37836023
 0.38887023 0.39938024 0.40989025 0.42040025 0.43091026 0.44142027
 0.45193027 0.46244028 0.47295028 0.48346029 0.4939703  0.5044803
 0.51499031 0.52550032 0.53601032 0.54652033 0.55703034 0.56754034
 0.57805035 0.58856035 0.59907036 0.60958037 0.62009037 0.63060038
 0.64111039 0.65162039 0.6621304  0.67264041 0.68315041 0.69366042
 0.70417042 0.71468043 0.72519044 0.73570044 0.74621045 0.75672046
 0.76723046 0.77774047 0.78825047 0.79876048 0.80927049 0.81978049
 0.8302905  0.84080051 0.85131051 0.86182052 0.87233053 0.88284053
 0.89335054 0.90386054 0.91437055 0.92488056 0.93539056 0.94590057
 0.95641058 0.96692058 0.97743059 0.9879406  0.9984506  1.00896061
 1.01947061 1.02998062 1.04049063 1.05100063]"
18,"[0.01050062 0.02100123 0.03150185 0.04200246 0.05250308 0.06300369
 0.07350431 0.08400493 0.09450554 0.10500616 0.11550677 0.12600739
 0.13650801 0.14700862 0.15750924 0.16800985 0.17851047 0.18901108
 0.1995117  0.21001232 0.22051293 0.23101355 0.24151416 0.25201478
 0.26251539 0.27301601 0.28351663 0.29401724 0.30451786 0.31501847
 0.32551909 0.3360197  0.34652032 0.35702094 0.36752155 0.37802217
 0.38852278 0.3990234  0.40952402 0.42002463 0.43052525 0.44102586
 0.45152648 0.46202709 0.47252771 0.48302833 0.49352894 0.50402956
 0.51453017 0.52503079 0.5355314  0.54603202 0.55653264 0.56703325
 0.57753387 0.58803448 0.5985351  0.60903571 0.61953633 0.63003695
 0.64053756 0.65103818 0.66153879 0.67203941 0.68254003 0.69304064
 0.70354126 0.71404187 0.72454249 0.7350431  0.74554372 0.75604434
 0.76654495 0.77704557 0.78754618 0.7980468  0.80854741 0.81904803
 0.82954865 0.84004926 0.85054988 0.86105049 0.87155111 0.88205172
 0.89255234 0.90305296 0.91355357 0.92405419 0.9345548  0.94505542
 0.95555604 0.96605665 0.97655727 0.98705788 0.9975585  1.00805911
 1.01855973 1.02906035 1.03956096 1.05006158]"
19,"[0.0104938  0.0209876  0.03148139 0.04197519 0.05246899 0.06296279
 0.07345659 0.08395039 0.09444418 0.10493798 0.11543178 0.12592558
 0.13641938 0.14691317 0.15740697 0.16790077 0.17839457 0.18888837
 0.19938216 0.20987596 0.22036976 0.23086356 0.24135736 0.25185116
 0.26234495 0.27283875 0.28333255 0.29382635 0.30432015 0.31481394
 0.32530774 0.33580154 0.34629534 0.35678914 0.36728293 0.37777673
 0.38827053 0.39876433 0.40925813 0.41975193 0.43024572 0.44073952
 0.45123332 0.46172712 0.47222092 0.48271471 0.49320851 0.50370231
 0.51419611 0.52468991 0.5351837  0.5456775  0.5561713  0.5666651
 0.5771589  0.5876527  0.59814649 0.60864029 0.61913409 0.62962789
 0.64012169 0.65061548 0.66110928 0.67160308 0.68209688 0.69259068
 0.70308447 0.71357827 0.72407207 0.73456587 0.74505967 0.75555347
 0.76604726 0.77654106 0.78703486 0.79752866 0.80802246 0.81851625
 0.82901005 0.83950385 0.84999765 0.86049145 0.87098524 0.88147904
 0.89197284 0.90246664 0.91296044 0.92345424 0.93394803 0.94444183
 0.95493563 0.96542943 0.97592323 0.98641702 0.99691082 1.00740462
 1.01789842 1.02839222 1.03888601 1.04937981]"
20,"[0.01048617 0.02097234 0.03145851 0.04194467 0.05243084 0.06291701
 0.07340318 0.08388935 0.09437552 0.10486169 0.11534786 0.12583402
 0.13632019 0.14680636 0.15729253 0.1677787  0.17826487 0.18875104
 0.19923721 0.20972337 0.22020954 0.23069571 0.24118188 0.25166805
 0.26215422 0.27264039 0.28312656 0.29361272 0.30409889 0.31458506
 0.32507123 0.3355574  0.34604357 0.35652974 0.36701591 0.37750207
 0.38798824 0.39847441 0.40896058 0.41944675 0.42993292 0.44041909
 0.45090526 0.46139142 0.47187759 0.48236376 0.49284993 0.5033361
 0.51382227 0.52430844 0.5347946  0.54528077 0.55576694 0.56625311
 0.57673928 0.58722545 0.59771162 0.60819779 0.61868395 0.62917012
 0.63965629 0.65014246 0.66062863 0.6711148  0.68160097 0.69208714
 0.7025733  0.71305947 0.72354564 0.73403181 0.74451798 0.75500415
 0.76549032 0.77597649 0.78646265 0.79694882 0.80743499 0.81792116
 0.82840733 0.8388935  0.84937967 0.85986584 0.870352   0.88083817
 0.89132434 0.90181051 0.91229668 0.92278285 0.93326902 0.94375519
 0.95424135 0.96472752 0.97521369 0.98569986 0.99618603 1.0066722
 1.01715837 1.02764453 1.0381307  1.04861687]"
21,"[0.01047982 0.02095964 0.03143946 0.04191928 0.0523991  0.06287892
 0.07335875 0.08383857 0.09431839 0.10479821 0.11527803 0.12575785
 0.13623767 0.14671749 0.15719731 0.16767713 0.17815695 0.18863677
 0.1991166  0.20959642 0.22007624 0.23055606 0.24103588 0.2515157
 0.26199552 0.27247534 0.28295516 0.29343498 0.3039148  0.31439462
 0.32487445 0.33535427 0.34583409 0.35631391 0.36679373 0.37727355
 0.38775337 0.39823319 0.40871301 0.41919283 0.42967265 0.44015247
 0.45063229 0.46111212 0.47159194 0.48207176 0.49255158 0.5030314
 0.51351122 0.52399104 0.53447086 0.54495068 0.5554305  0.56591032
 0.57639014 0.58686997 0.59734979 0.60782961 0.61830943 0.62878925
 0.63926907 0.64974889 0.66022871 0.67070853 0.68118835 0.69166817
 0.70214799 0.71262781 0.72310764 0.73358746 0.74406728 0.7545471
 0.76502692 0.77550674 0.78598656 0.79646638 0.8069462  0.81742602
 0.82790584 0.83838566 0.84886549 0.85934531 0.86982513 0.88030495
 0.89078477 0.90126459 0.91174441 0.92222423 0.93270405 0.94318387
 0.95366369 0.96414351 0.97462334 0.98510316 0.99558298 1.0060628
 1.01654262 1.02702244 1.03750226 1.04798208]"
