,Q
10,"[0.01057727 0.02115454 0.03173181 0.04230907 0.05288634 0.06346361
 0.07404088 0.08461815 0.09519542 0.10577268 0.11634995 0.12692722
 0.13750449 0.14808176 0.15865903 0.16923629 0.17981356 0.19039083
 0.2009681  0.21154537 0.22212264 0.2326999  0.24327717 0.25385444
 0.26443171 0.27500898 0.28558625 0.29616351 0.30674078 0.31731805
 0.32789532 0.33847259 0.34904986 0.35962712 0.37020439 0.38078166
 0.39135893 0.4019362  0.41251347 0.42309073 0.433668   0.44424527
 0.45482254 0.46539981 0.47597708 0.48655434 0.49713161 0.50770888
 0.51828615 0.52886342 0.53944069 0.55001795 0.56059522 0.57117249
 0.58174976 0.59232703 0.6029043  0.61348156 0.62405883 0.6346361
 0.64521337 0.65579064 0.66636791 0.67694517 0.68752244 0.69809971
 0.70867698 0.71925425 0.72983152 0.74040878 0.75098605 0.76156332
 0.77214059 0.78271786 0.79329513 0.80387239 0.81444966 0.82502693
 0.8356042  0.84618147 0.85675874 0.867336   0.87791327 0.88849054
 0.89906781 0.90964508 0.92022235 0.93079961 0.94137688 0.95195415
 0.96253142 0.97310869 0.98368596 0.99426322 1.00484049 1.01541776
 1.02599503 1.0365723  1.04714957 1.05772683]"
11,"[0.01059834 0.02119669 0.03179503 0.04239337 0.05299172 0.06359006
 0.07418841 0.08478675 0.09538509 0.10598344 0.11658178 0.12718012
 0.13777847 0.14837681 0.15897516 0.1695735  0.18017184 0.19077019
 0.20136853 0.21196687 0.22256522 0.23316356 0.24376191 0.25436025
 0.26495859 0.27555694 0.28615528 0.29675362 0.30735197 0.31795031
 0.32854866 0.339147   0.34974534 0.36034369 0.37094203 0.38154037
 0.39213872 0.40273706 0.41333541 0.42393375 0.43453209 0.44513044
 0.45572878 0.46632712 0.47692547 0.48752381 0.49812216 0.5087205
 0.51931884 0.52991719 0.54051553 0.55111387 0.56171222 0.57231056
 0.58290891 0.59350725 0.60410559 0.61470394 0.62530228 0.63590062
 0.64649897 0.65709731 0.66769566 0.678294   0.68889234 0.69949069
 0.71008903 0.72068737 0.73128572 0.74188406 0.7524824  0.76308075
 0.77367909 0.78427744 0.79487578 0.80547412 0.81607247 0.82667081
 0.83726915 0.8478675  0.85846584 0.86906419 0.87966253 0.89026087
 0.90085922 0.91145756 0.9220559  0.93265425 0.94325259 0.95385094
 0.96444928 0.97504762 0.98564597 0.99624431 1.00684265 1.017441
 1.02803934 1.03863769 1.04923603 1.05983437]"
12,"[0.01060157 0.02120314 0.03180472 0.04240629 0.05300786 0.06360943
 0.07421101 0.08481258 0.09541415 0.10601572 0.1166173  0.12721887
 0.13782044 0.14842201 0.15902359 0.16962516 0.18022673 0.1908283
 0.20142987 0.21203145 0.22263302 0.23323459 0.24383616 0.25443774
 0.26503931 0.27564088 0.28624245 0.29684403 0.3074456  0.31804717
 0.32864874 0.33925032 0.34985189 0.36045346 0.37105503 0.38165661
 0.39225818 0.40285975 0.41346132 0.42406289 0.43466447 0.44526604
 0.45586761 0.46646918 0.47707076 0.48767233 0.4982739  0.50887547
 0.51947705 0.53007862 0.54068019 0.55128176 0.56188334 0.57248491
 0.58308648 0.59368805 0.60428962 0.6148912  0.62549277 0.63609434
 0.64669591 0.65729749 0.66789906 0.67850063 0.6891022  0.69970378
 0.71030535 0.72090692 0.73150849 0.74211007 0.75271164 0.76331321
 0.77391478 0.78451635 0.79511793 0.8057195  0.81632107 0.82692264
 0.83752422 0.84812579 0.85872736 0.86932893 0.87993051 0.89053208
 0.90113365 0.91173522 0.9223368  0.93293837 0.94353994 0.95414151
 0.96474308 0.97534466 0.98594623 0.9965478  1.00714937 1.01775095
 1.02835252 1.03895409 1.04955566 1.06015724]"
13,"[0.0105984  0.02119679 0.03179519 0.04239358 0.05299198 0.06359037
 0.07418877 0.08478717 0.09538556 0.10598396 0.11658235 0.12718075
 0.13777914 0.14837754 0.15897594 0.16957433 0.18017273 0.19077112
 0.20136952 0.21196791 0.22256631 0.23316471 0.2437631  0.2543615
 0.26495989 0.27555829 0.28615668 0.29675508 0.30735348 0.31795187
 0.32855027 0.33914866 0.34974706 0.36034545 0.37094385 0.38154225
 0.39214064 0.40273904 0.41333743 0.42393583 0.43453422 0.44513262
 0.45573102 0.46632941 0.47692781 0.4875262  0.4981246  0.50872299
 0.51932139 0.52991979 0.54051818 0.55111658 0.56171497 0.57231337
 0.58291176 0.59351016 0.60410856 0.61470695 0.62530535 0.63590374
 0.64650214 0.65710053 0.66769893 0.67829733 0.68889572 0.69949412
 0.71009251 0.72069091 0.7312893  0.7418877  0.7524861  0.76308449
 0.77368289 0.78428128 0.79487968 0.80547807 0.81607647 0.82667487
 0.83727326 0.84787166 0.85847005 0.86906845 0.87966684 0.89026524
 0.90086364 0.91146203 0.92206043 0.93265882 0.94325722 0.95385561
 0.96445401 0.97505241 0.9856508  0.9962492  1.00684759 1.01744599
 1.02804438 1.03864278 1.04924118 1.05983957]"
14,"[0.0105933  0.02118659 0.03177989 0.04237318 0.05296648 0.06355977
 0.07415307 0.08474637 0.09533966 0.10593296 0.11652625 0.12711955
 0.13771284 0.14830614 0.15889944 0.16949273 0.18008603 0.19067932
 0.20127262 0.21186591 0.22245921 0.23305251 0.2436458  0.2542391
 0.26483239 0.27542569 0.28601898 0.29661228 0.30720558 0.31779887
 0.32839217 0.33898546 0.34957876 0.36017205 0.37076535 0.38135865
 0.39195194 0.40254524 0.41313853 0.42373183 0.43432512 0.44491842
 0.45551172 0.46610501 0.47669831 0.4872916  0.4978849  0.50847819
 0.51907149 0.52966479 0.54025808 0.55085138 0.56144467 0.57203797
 0.58263126 0.59322456 0.60381786 0.61441115 0.62500445 0.63559774
 0.64619104 0.65678433 0.66737763 0.67797093 0.68856422 0.69915752
 0.70975081 0.72034411 0.7309374  0.7415307  0.752124   0.76271729
 0.77331059 0.78390388 0.79449718 0.80509047 0.81568377 0.82627706
 0.83687036 0.84746366 0.85805695 0.86865025 0.87924354 0.88983684
 0.90043013 0.91102343 0.92161673 0.93221002 0.94280332 0.95339661
 0.96398991 0.9745832  0.9851765  0.9957698  1.00636309 1.01695639
 1.02754968 1.03814298 1.04873627 1.05932957]"
15,"[0.01059036 0.02118072 0.03177109 0.04236145 0.05295181 0.06354217
 0.07413253 0.08472289 0.09531326 0.10590362 0.11649398 0.12708434
 0.1376747  0.14826506 0.15885543 0.16944579 0.18003615 0.19062651
 0.20121687 0.21180723 0.2223976  0.23298796 0.24357832 0.25416868
 0.26475904 0.27534941 0.28593977 0.29653013 0.30712049 0.31771085
 0.32830121 0.33889158 0.34948194 0.3600723  0.37066266 0.38125302
 0.39184338 0.40243375 0.41302411 0.42361447 0.43420483 0.44479519
 0.45538556 0.46597592 0.47656628 0.48715664 0.497747   0.50833736
 0.51892773 0.52951809 0.54010845 0.55069881 0.56128917 0.57187953
 0.5824699  0.59306026 0.60365062 0.61424098 0.62483134 0.6354217
 0.64601207 0.65660243 0.66719279 0.67778315 0.68837351 0.69896388
 0.70955424 0.7201446  0.73073496 0.74132532 0.75191568 0.76250605
 0.77309641 0.78368677 0.79427713 0.80486749 0.81545785 0.82604822
 0.83663858 0.84722894 0.8578193  0.86840966 0.87900002 0.88959039
 0.90018075 0.91077111 0.92136147 0.93195183 0.9425422  0.95313256
 0.96372292 0.97431328 0.98490364 0.995494   1.00608437 1.01667473
 1.02726509 1.03785545 1.04844581 1.05903617]"
16,"[0.01058371 0.02116741 0.03175112 0.04233482 0.05291853 0.06350223
 0.07408594 0.08466965 0.09525335 0.10583706 0.11642076 0.12700447
 0.13758817 0.14817188 0.15875559 0.16933929 0.179923   0.1905067
 0.20109041 0.21167412 0.22225782 0.23284153 0.24342523 0.25400894
 0.26459264 0.27517635 0.28576006 0.29634376 0.30692747 0.31751117
 0.32809488 0.33867858 0.34926229 0.359846   0.3704297  0.38101341
 0.39159711 0.40218082 0.41276452 0.42334823 0.43393194 0.44451564
 0.45509935 0.46568305 0.47626676 0.48685046 0.49743417 0.50801788
 0.51860158 0.52918529 0.53976899 0.5503527  0.5609364  0.57152011
 0.58210382 0.59268752 0.60327123 0.61385493 0.62443864 0.63502235
 0.64560605 0.65618976 0.66677346 0.67735717 0.68794087 0.69852458
 0.70910829 0.71969199 0.7302757  0.7408594  0.75144311 0.76202681
 0.77261052 0.78319423 0.79377793 0.80436164 0.81494534 0.82552905
 0.83611275 0.84669646 0.85728017 0.86786387 0.87844758 0.88903128
 0.89961499 0.91019869 0.9207824  0.93136611 0.94194981 0.95253352
 0.96311722 0.97370093 0.98428464 0.99486834 1.00545205 1.01603575
 1.02661946 1.03720316 1.04778687 1.05837058]"
17,"[0.01057866 0.02115732 0.03173597 0.04231463 0.05289329 0.06347195
 0.07405061 0.08462926 0.09520792 0.10578658 0.11636524 0.1269439
 0.13752255 0.14810121 0.15867987 0.16925853 0.17983719 0.19041585
 0.2009945  0.21157316 0.22215182 0.23273048 0.24330914 0.25388779
 0.26446645 0.27504511 0.28562377 0.29620243 0.30678108 0.31735974
 0.3279384  0.33851706 0.34909572 0.35967437 0.37025303 0.38083169
 0.39141035 0.40198901 0.41256766 0.42314632 0.43372498 0.44430364
 0.4548823  0.46546095 0.47603961 0.48661827 0.49719693 0.50777559
 0.51835425 0.5289329  0.53951156 0.55009022 0.56066888 0.57124754
 0.58182619 0.59240485 0.60298351 0.61356217 0.62414083 0.63471948
 0.64529814 0.6558768  0.66645546 0.67703412 0.68761277 0.69819143
 0.70877009 0.71934875 0.72992741 0.74050606 0.75108472 0.76166338
 0.77224204 0.7828207  0.79339935 0.80397801 0.81455667 0.82513533
 0.83571399 0.84629264 0.8568713  0.86744996 0.87802862 0.88860728
 0.89918594 0.90976459 0.92034325 0.93092191 0.94150057 0.95207923
 0.96265788 0.97323654 0.9838152  0.99439386 1.00497252 1.01555117
 1.02612983 1.03670849 1.04728715 1.05786581]"
18,"[0.01057087 0.02114174 0.0317126  0.04228347 0.05285434 0.06342521
 0.07399607 0.08456694 0.09513781 0.10570868 0.11627954 0.12685041
 0.13742128 0.14799215 0.15856302 0.16913388 0.17970475 0.19027562
 0.20084649 0.21141735 0.22198822 0.23255909 0.24312996 0.25370082
 0.26427169 0.27484256 0.28541343 0.29598429 0.30655516 0.31712603
 0.3276969  0.33826777 0.34883863 0.3594095  0.36998037 0.38055124
 0.3911221  0.40169297 0.41226384 0.42283471 0.43340557 0.44397644
 0.45454731 0.46511818 0.47568905 0.48625991 0.49683078 0.50740165
 0.51797252 0.52854338 0.53911425 0.54968512 0.56025599 0.57082685
 0.58139772 0.59196859 0.60253946 0.61311032 0.62368119 0.63425206
 0.64482293 0.6553938  0.66596466 0.67653553 0.6871064  0.69767727
 0.70824813 0.718819   0.72938987 0.73996074 0.7505316  0.76110247
 0.77167334 0.78224421 0.79281508 0.80338594 0.81395681 0.82452768
 0.83509855 0.84566941 0.85624028 0.86681115 0.87738202 0.88795288
 0.89852375 0.90909462 0.91966549 0.93023635 0.94080722 0.95137809
 0.96194896 0.97251983 0.98309069 0.99366156 1.00423243 1.0148033
 1.02537416 1.03594503 1.0465159  1.05708677]"
19,"[0.01056367 0.02112734 0.03169101 0.04225468 0.05281835 0.06338201
 0.07394568 0.08450935 0.09507302 0.10563669 0.11620036 0.12676403
 0.1373277  0.14789137 0.15845504 0.16901871 0.17958238 0.19014604
 0.20070971 0.21127338 0.22183705 0.23240072 0.24296439 0.25352806
 0.26409173 0.2746554  0.28521907 0.29578274 0.30634641 0.31691007
 0.32747374 0.33803741 0.34860108 0.35916475 0.36972842 0.38029209
 0.39085576 0.40141943 0.4119831  0.42254677 0.43311044 0.4436741
 0.45423777 0.46480144 0.47536511 0.48592878 0.49649245 0.50705612
 0.51761979 0.52818346 0.53874713 0.5493108  0.55987447 0.57043813
 0.5810018  0.59156547 0.60212914 0.61269281 0.62325648 0.63382015
 0.64438382 0.65494749 0.66551116 0.67607483 0.6866385  0.69720216
 0.70776583 0.7183295  0.72889317 0.73945684 0.75002051 0.76058418
 0.77114785 0.78171152 0.79227519 0.80283886 0.81340253 0.82396619
 0.83452986 0.84509353 0.8556572  0.86622087 0.87678454 0.88734821
 0.89791188 0.90847555 0.91903922 0.92960289 0.94016656 0.95073022
 0.96129389 0.97185756 0.98242123 0.9929849  1.00354857 1.01411224
 1.02467591 1.03523958 1.04580325 1.05636692]"
20,"[0.01055722 0.02111444 0.03167166 0.04222888 0.0527861  0.06334332
 0.07390054 0.08445776 0.09501498 0.10557219 0.11612941 0.12668663
 0.13724385 0.14780107 0.15835829 0.16891551 0.17947273 0.19002995
 0.20058717 0.21114439 0.22170161 0.23225883 0.24281605 0.25337327
 0.26393049 0.27448771 0.28504493 0.29560215 0.30615936 0.31671658
 0.3272738  0.33783102 0.34838824 0.35894546 0.36950268 0.3800599
 0.39061712 0.40117434 0.41173156 0.42228878 0.432846   0.44340322
 0.45396044 0.46451766 0.47507488 0.4856321  0.49618932 0.50674653
 0.51730375 0.52786097 0.53841819 0.54897541 0.55953263 0.57008985
 0.58064707 0.59120429 0.60176151 0.61231873 0.62287595 0.63343317
 0.64399039 0.65454761 0.66510483 0.67566205 0.68621927 0.69677649
 0.70733371 0.71789092 0.72844814 0.73900536 0.74956258 0.7601198
 0.77067702 0.78123424 0.79179146 0.80234868 0.8129059  0.82346312
 0.83402034 0.84457756 0.85513478 0.865692   0.87624922 0.88680644
 0.89736366 0.90792088 0.91847809 0.92903531 0.93959253 0.95014975
 0.96070697 0.97126419 0.98182141 0.99237863 1.00293585 1.01349307
 1.02405029 1.03460751 1.04516473 1.05572195]"
