,Q
10,"[0.01052149 0.02104299 0.03156448 0.04208597 0.05260746 0.06312896
 0.07365045 0.08417194 0.09469344 0.10521493 0.11573642 0.12625791
 0.13677941 0.1473009  0.15782239 0.16834389 0.17886538 0.18938687
 0.19990837 0.21042986 0.22095135 0.23147284 0.24199434 0.25251583
 0.26303732 0.27355882 0.28408031 0.2946018  0.30512329 0.31564479
 0.32616628 0.33668777 0.34720927 0.35773076 0.36825225 0.37877374
 0.38929524 0.39981673 0.41033822 0.42085972 0.43138121 0.4419027
 0.45242419 0.46294569 0.47346718 0.48398867 0.49451017 0.50503166
 0.51555315 0.52607465 0.53659614 0.54711763 0.55763912 0.56816062
 0.57868211 0.5892036  0.5997251  0.61024659 0.62076808 0.63128957
 0.64181107 0.65233256 0.66285405 0.67337555 0.68389704 0.69441853
 0.70494002 0.71546152 0.72598301 0.7365045  0.747026   0.75754749
 0.76806898 0.77859047 0.78911197 0.79963346 0.81015495 0.82067645
 0.83119794 0.84171943 0.85224093 0.86276242 0.87328391 0.8838054
 0.8943269  0.90484839 0.91536988 0.92589138 0.93641287 0.94693436
 0.95745585 0.96797735 0.97849884 0.98902033 0.99954183 1.01006332
 1.02058481 1.0311063  1.0416278  1.05214929]"
11,"[0.01054131 0.02108261 0.03162392 0.04216523 0.05270654 0.06324784
 0.07378915 0.08433046 0.09487176 0.10541307 0.11595438 0.12649568
 0.13703699 0.1475783  0.15811961 0.16866091 0.17920222 0.18974353
 0.20028483 0.21082614 0.22136745 0.23190875 0.24245006 0.25299137
 0.26353268 0.27407398 0.28461529 0.2951566  0.3056979  0.31623921
 0.32678052 0.33732182 0.34786313 0.35840444 0.36894575 0.37948705
 0.39002836 0.40056967 0.41111097 0.42165228 0.43219359 0.4427349
 0.4532762  0.46381751 0.47435882 0.48490012 0.49544143 0.50598274
 0.51652404 0.52706535 0.53760666 0.54814797 0.55868927 0.56923058
 0.57977189 0.59031319 0.6008545  0.61139581 0.62193711 0.63247842
 0.64301973 0.65356104 0.66410234 0.67464365 0.68518496 0.69572626
 0.70626757 0.71680888 0.72735018 0.73789149 0.7484328  0.75897411
 0.76951541 0.78005672 0.79059803 0.80113933 0.81168064 0.82222195
 0.83276326 0.84330456 0.85384587 0.86438718 0.87492848 0.88546979
 0.8960111  0.9065524  0.91709371 0.92763502 0.93817633 0.94871763
 0.95925894 0.96980025 0.98034155 0.99088286 1.00142417 1.01196547
 1.02250678 1.03304809 1.0435894  1.0541307 ]"
12,"[-4.44277479e-16  1.05427976e-02  2.10855953e-02  3.16283929e-02
  4.21711905e-02  5.27139882e-02  6.32567858e-02  7.37995834e-02
  8.43423811e-02  9.48851787e-02  1.05427976e-01  1.15970774e-01
  1.26513572e-01  1.37056369e-01  1.47599167e-01  1.58141965e-01
  1.68684762e-01  1.79227560e-01  1.89770357e-01  2.00313155e-01
  2.10855953e-01  2.21398750e-01  2.31941548e-01  2.42484346e-01
  2.53027143e-01  2.63569941e-01  2.74112738e-01  2.84655536e-01
  2.95198334e-01  3.05741131e-01  3.16283929e-01  3.26826727e-01
  3.37369524e-01  3.47912322e-01  3.58455120e-01  3.68997917e-01
  3.79540715e-01  3.90083512e-01  4.00626310e-01  4.11169108e-01
  4.21711905e-01  4.32254703e-01  4.42797501e-01  4.53340298e-01
  4.63883096e-01  4.74425894e-01  4.84968691e-01  4.95511489e-01
  5.06054286e-01  5.16597084e-01  5.27139882e-01  5.37682679e-01
  5.48225477e-01  5.58768275e-01  5.69311072e-01  5.79853870e-01
  5.90396667e-01  6.00939465e-01  6.11482263e-01  6.22025060e-01
  6.32567858e-01  6.43110656e-01  6.53653453e-01  6.64196251e-01
  6.74739049e-01  6.85281846e-01  6.95824644e-01  7.06367441e-01
  7.16910239e-01  7.27453037e-01  7.37995834e-01  7.48538632e-01
  7.59081430e-01  7.69624227e-01  7.80167025e-01  7.90709823e-01
  8.01252620e-01  8.11795418e-01  8.22338215e-01  8.32881013e-01
  8.43423811e-01  8.53966608e-01  8.64509406e-01  8.75052204e-01
  8.85595001e-01  8.96137799e-01  9.06680596e-01  9.17223394e-01
  9.27766192e-01  9.38308989e-01  9.48851787e-01  9.59394585e-01
  9.69937382e-01  9.80480180e-01  9.91022978e-01  1.00156578e+00
  1.01210857e+00  1.02265137e+00  1.03319417e+00  1.04373697e+00]"
13,"[-7.54911313e-15  1.05389374e-02  2.10778748e-02  3.16168123e-02
  4.21557497e-02  5.26946871e-02  6.32336245e-02  7.37725619e-02
  8.43114994e-02  9.48504368e-02  1.05389374e-01  1.15928312e-01
  1.26467249e-01  1.37006186e-01  1.47545124e-01  1.58084061e-01
  1.68622999e-01  1.79161936e-01  1.89700874e-01  2.00239811e-01
  2.10778748e-01  2.21317686e-01  2.31856623e-01  2.42395561e-01
  2.52934498e-01  2.63473436e-01  2.74012373e-01  2.84551310e-01
  2.95090248e-01  3.05629185e-01  3.16168123e-01  3.26707060e-01
  3.37245997e-01  3.47784935e-01  3.58323872e-01  3.68862810e-01
  3.79401747e-01  3.89940685e-01  4.00479622e-01  4.11018559e-01
  4.21557497e-01  4.32096434e-01  4.42635372e-01  4.53174309e-01
  4.63713247e-01  4.74252184e-01  4.84791121e-01  4.95330059e-01
  5.05868996e-01  5.16407934e-01  5.26946871e-01  5.37485808e-01
  5.48024746e-01  5.58563683e-01  5.69102621e-01  5.79641558e-01
  5.90180496e-01  6.00719433e-01  6.11258370e-01  6.21797308e-01
  6.32336245e-01  6.42875183e-01  6.53414120e-01  6.63953058e-01
  6.74491995e-01  6.85030932e-01  6.95569870e-01  7.06108807e-01
  7.16647745e-01  7.27186682e-01  7.37725619e-01  7.48264557e-01
  7.58803494e-01  7.69342432e-01  7.79881369e-01  7.90420307e-01
  8.00959244e-01  8.11498181e-01  8.22037119e-01  8.32576056e-01
  8.43114994e-01  8.53653931e-01  8.64192869e-01  8.74731806e-01
  8.85270743e-01  8.95809681e-01  9.06348618e-01  9.16887556e-01
  9.27426493e-01  9.37965430e-01  9.48504368e-01  9.59043305e-01
  9.69582243e-01  9.80121180e-01  9.90660118e-01  1.00119906e+00
  1.01173799e+00  1.02227693e+00  1.03281587e+00  1.04335480e+00]"
14,"[0.01053465 0.02106929 0.03160394 0.04213859 0.05267323 0.06320788
 0.07374253 0.08427717 0.09481182 0.10534647 0.11588111 0.12641576
 0.13695041 0.14748505 0.1580197  0.16855435 0.17908899 0.18962364
 0.20015829 0.21069293 0.22122758 0.23176223 0.24229687 0.25283152
 0.26336617 0.27390081 0.28443546 0.29497011 0.30550475 0.3160394
 0.32657405 0.33710869 0.34764334 0.35817799 0.36871263 0.37924728
 0.38978193 0.40031657 0.41085122 0.42138587 0.43192051 0.44245516
 0.45298981 0.46352445 0.4740591  0.48459375 0.49512839 0.50566304
 0.51619769 0.52673233 0.53726698 0.54780163 0.55833627 0.56887092
 0.57940556 0.58994021 0.60047486 0.6110095  0.62154415 0.6320788
 0.64261344 0.65314809 0.66368274 0.67421738 0.68475203 0.69528668
 0.70582132 0.71635597 0.72689062 0.73742526 0.74795991 0.75849456
 0.7690292  0.77956385 0.7900985  0.80063314 0.81116779 0.82170244
 0.83223708 0.84277173 0.85330638 0.86384102 0.87437567 0.88491032
 0.89544496 0.90597961 0.91651426 0.9270489  0.93758355 0.9481182
 0.95865284 0.96918749 0.97972214 0.99025678 1.00079143 1.01132608
 1.02186072 1.03239537 1.04293002 1.05346466]"
15,"[0.0105262  0.0210524  0.03157859 0.04210479 0.05263099 0.06315719
 0.07368339 0.08420958 0.09473578 0.10526198 0.11578818 0.12631438
 0.13684057 0.14736677 0.15789297 0.16841917 0.17894536 0.18947156
 0.19999776 0.21052396 0.22105016 0.23157635 0.24210255 0.25262875
 0.26315495 0.27368115 0.28420734 0.29473354 0.30525974 0.31578594
 0.32631214 0.33683833 0.34736453 0.35789073 0.36841693 0.37894313
 0.38946932 0.39999552 0.41052172 0.42104792 0.43157411 0.44210031
 0.45262651 0.46315271 0.47367891 0.4842051  0.4947313  0.5052575
 0.5157837  0.5263099  0.53683609 0.54736229 0.55788849 0.56841469
 0.57894089 0.58946708 0.59999328 0.61051948 0.62104568 0.63157188
 0.64209807 0.65262427 0.66315047 0.67367667 0.68420287 0.69472906
 0.70525526 0.71578146 0.72630766 0.73683385 0.74736005 0.75788625
 0.76841245 0.77893865 0.78946484 0.79999104 0.81051724 0.82104344
 0.83156964 0.84209583 0.85262203 0.86314823 0.87367443 0.88420063
 0.89472682 0.90525302 0.91577922 0.92630542 0.93683162 0.94735781
 0.95788401 0.96841021 0.97893641 0.9894626  0.9999888  1.010515
 1.0210412  1.0315674  1.04209359 1.05261979]"
16,"[0.0105216  0.0210432  0.03156479 0.04208639 0.05260799 0.06312959
 0.07365118 0.08417278 0.09469438 0.10521598 0.11573758 0.12625917
 0.13678077 0.14730237 0.15782397 0.16834556 0.17886716 0.18938876
 0.19991036 0.21043196 0.22095355 0.23147515 0.24199675 0.25251835
 0.26303994 0.27356154 0.28408314 0.29460474 0.30512634 0.31564793
 0.32616953 0.33669113 0.34721273 0.35773432 0.36825592 0.37877752
 0.38929912 0.39982072 0.41034231 0.42086391 0.43138551 0.44190711
 0.4524287  0.4629503  0.4734719  0.4839935  0.4945151  0.50503669
 0.51555829 0.52607989 0.53660149 0.54712308 0.55764468 0.56816628
 0.57868788 0.58920948 0.59973107 0.61025267 0.62077427 0.63129587
 0.64181746 0.65233906 0.66286066 0.67338226 0.68390386 0.69442545
 0.70494705 0.71546865 0.72599025 0.73651184 0.74703344 0.75755504
 0.76807664 0.77859824 0.78911983 0.79964143 0.81016303 0.82068463
 0.83120622 0.84172782 0.85224942 0.86277102 0.87329262 0.88381421
 0.89433581 0.90485741 0.91537901 0.9259006  0.9364222  0.9469438
 0.9574654  0.96798699 0.97850859 0.98903019 0.99955179 1.01007339
 1.02059498 1.03111658 1.04163818 1.05215978]"
17,"[0.01051376 0.02102752 0.03154128 0.04205504 0.0525688  0.06308256
 0.07359632 0.08411008 0.09462384 0.1051376  0.11565136 0.12616512
 0.13667888 0.14719264 0.1577064  0.16822016 0.17873391 0.18924767
 0.19976143 0.21027519 0.22078895 0.23130271 0.24181647 0.25233023
 0.26284399 0.27335775 0.28387151 0.29438527 0.30489903 0.31541279
 0.32592655 0.33644031 0.34695407 0.35746783 0.36798159 0.37849535
 0.38900911 0.39952287 0.41003663 0.42055039 0.43106415 0.44157791
 0.45209167 0.46260543 0.47311919 0.48363295 0.49414671 0.50466047
 0.51517423 0.52568799 0.53620174 0.5467155  0.55722926 0.56774302
 0.57825678 0.58877054 0.5992843  0.60979806 0.62031182 0.63082558
 0.64133934 0.6518531  0.66236686 0.67288062 0.68339438 0.69390814
 0.7044219  0.71493566 0.72544942 0.73596318 0.74647694 0.7569907
 0.76750446 0.77801822 0.78853198 0.79904574 0.8095595  0.82007326
 0.83058702 0.84110078 0.85161454 0.8621283  0.87264206 0.88315581
 0.89366957 0.90418333 0.91469709 0.92521085 0.93572461 0.94623837
 0.95675213 0.96726589 0.97777965 0.98829341 0.99880717 1.00932093
 1.01983469 1.03034845 1.04086221 1.05137597]"
18,"[0.01050671 0.02101341 0.03152012 0.04202683 0.05253353 0.06304024
 0.07354695 0.08405365 0.09456036 0.10506707 0.11557377 0.12608048
 0.13658719 0.14709389 0.1576006  0.16810731 0.17861401 0.18912072
 0.19962743 0.21013413 0.22064084 0.23114755 0.24165425 0.25216096
 0.26266767 0.27317437 0.28368108 0.29418779 0.30469449 0.3152012
 0.32570791 0.33621461 0.34672132 0.35722803 0.36773473 0.37824144
 0.38874815 0.39925485 0.40976156 0.42026827 0.43077497 0.44128168
 0.45178839 0.46229509 0.4728018  0.48330851 0.49381521 0.50432192
 0.51482863 0.52533533 0.53584204 0.54634875 0.55685545 0.56736216
 0.57786887 0.58837557 0.59888228 0.60938899 0.61989569 0.6304024
 0.64090911 0.65141581 0.66192252 0.67242923 0.68293593 0.69344264
 0.70394935 0.71445605 0.72496276 0.73546947 0.74597617 0.75648288
 0.76698959 0.77749629 0.788003   0.79850971 0.80901641 0.81952312
 0.83002983 0.84053653 0.85104324 0.86154995 0.87205665 0.88256336
 0.89307007 0.90357677 0.91408348 0.92459019 0.93509689 0.9456036
 0.95611031 0.96661701 0.97712372 0.98763043 0.99813713 1.00864384
 1.01915055 1.02965725 1.04016396 1.05067067]"
19,"[0.01050043 0.02100086 0.03150128 0.04200171 0.05250214 0.06300257
 0.073503   0.08400342 0.09450385 0.10500428 0.11550471 0.12600513
 0.13650556 0.14700599 0.15750642 0.16800685 0.17850727 0.1890077
 0.19950813 0.21000856 0.22050899 0.23100941 0.24150984 0.25201027
 0.2625107  0.27301112 0.28351155 0.29401198 0.30451241 0.31501284
 0.32551326 0.33601369 0.34651412 0.35701455 0.36751498 0.3780154
 0.38851583 0.39901626 0.40951669 0.42001711 0.43051754 0.44101797
 0.4515184  0.46201883 0.47251925 0.48301968 0.49352011 0.50402054
 0.51452097 0.52502139 0.53552182 0.54602225 0.55652268 0.5670231
 0.57752353 0.58802396 0.59852439 0.60902482 0.61952524 0.63002567
 0.6405261  0.65102653 0.66152696 0.67202738 0.68252781 0.69302824
 0.70352867 0.71402909 0.72452952 0.73502995 0.74553038 0.75603081
 0.76653123 0.77703166 0.78753209 0.79803252 0.80853295 0.81903337
 0.8295338  0.84003423 0.85053466 0.86103508 0.87153551 0.88203594
 0.89253637 0.9030368  0.91353722 0.92403765 0.93453808 0.94503851
 0.95553894 0.96603936 0.97653979 0.98704022 0.99754065 1.00804108
 1.0185415  1.02904193 1.03954236 1.05004279]"
20,"[0.01049411 0.02098821 0.03148232 0.04197643 0.05247053 0.06296464
 0.07345875 0.08395285 0.09444696 0.10494106 0.11543517 0.12592928
 0.13642338 0.14691749 0.1574116  0.1679057  0.17839981 0.18889392
 0.19938802 0.20988213 0.22037624 0.23087034 0.24136445 0.25185856
 0.26235266 0.27284677 0.28334087 0.29383498 0.30432909 0.31482319
 0.3253173  0.33581141 0.34630551 0.35679962 0.36729373 0.37778783
 0.38828194 0.39877605 0.40927015 0.41976426 0.43025837 0.44075247
 0.45124658 0.46174068 0.47223479 0.4827289  0.493223   0.50371711
 0.51421122 0.52470532 0.53519943 0.54569354 0.55618764 0.56668175
 0.57717586 0.58766996 0.59816407 0.60865818 0.61915228 0.62964639
 0.6401405  0.6506346  0.66112871 0.67162281 0.68211692 0.69261103
 0.70310513 0.71359924 0.72409335 0.73458745 0.74508156 0.75557567
 0.76606977 0.77656388 0.78705799 0.79755209 0.8080462  0.81854031
 0.82903441 0.83952852 0.85002262 0.86051673 0.87101084 0.88150494
 0.89199905 0.90249316 0.91298726 0.92348137 0.93397548 0.94446958
 0.95496369 0.9654578  0.9759519  0.98644601 0.99694012 1.00743422
 1.01792833 1.02842243 1.03891654 1.04941065]"
