,Q
10,"[0.01100075 0.02200149 0.03300224 0.04400298 0.05500373 0.06600447
 0.07700522 0.08800596 0.09900671 0.11000745 0.1210082  0.13200894
 0.14300969 0.15401043 0.16501118 0.17601192 0.18701267 0.19801341
 0.20901416 0.2200149  0.23101565 0.24201639 0.25301714 0.26401788
 0.27501863 0.28601937 0.29702012 0.30802086 0.31902161 0.33002235
 0.3410231  0.35202384 0.36302459 0.37402533 0.38502608 0.39602682
 0.40702757 0.41802831 0.42902906 0.4400298  0.45103055 0.46203129
 0.47303204 0.48403278 0.49503353 0.50603427 0.51703502 0.52803576
 0.53903651 0.55003725 0.561038   0.57203874 0.58303949 0.59404023
 0.60504098 0.61604172 0.62704247 0.63804321 0.64904396 0.6600447
 0.67104545 0.68204619 0.69304694 0.70404768 0.71504843 0.72604917
 0.73704992 0.74805066 0.75905141 0.77005215 0.7810529  0.79205364
 0.80305439 0.81405513 0.82505588 0.83605662 0.84705737 0.85805811
 0.86905886 0.8800596  0.89106035 0.90206109 0.91306184 0.92406258
 0.93506333 0.94606407 0.95706482 0.96806556 0.97906631 0.99006705
 1.0010678  1.01206854 1.02306929 1.03407003 1.04507078 1.05607152
 1.06707227 1.07807301 1.08907376 1.1000745 ]"
11,"[0.01099022 0.02198043 0.03297065 0.04396087 0.05495109 0.0659413
 0.07693152 0.08792174 0.09891196 0.10990217 0.12089239 0.13188261
 0.14287283 0.15386304 0.16485326 0.17584348 0.18683369 0.19782391
 0.20881413 0.21980435 0.23079456 0.24178478 0.252775   0.26376522
 0.27475543 0.28574565 0.29673587 0.30772609 0.3187163  0.32970652
 0.34069674 0.35168695 0.36267717 0.37366739 0.38465761 0.39564782
 0.40663804 0.41762826 0.42861848 0.43960869 0.45059891 0.46158913
 0.47257935 0.48356956 0.49455978 0.50555    0.51654022 0.52753043
 0.53852065 0.54951087 0.56050108 0.5714913  0.58248152 0.59347174
 0.60446195 0.61545217 0.62644239 0.63743261 0.64842282 0.65941304
 0.67040326 0.68139348 0.69238369 0.70337391 0.71436413 0.72535434
 0.73634456 0.74733478 0.758325   0.76931521 0.78030543 0.79129565
 0.80228587 0.81327608 0.8242663  0.83525652 0.84624674 0.85723695
 0.86822717 0.87921739 0.8902076  0.90119782 0.91218804 0.92317826
 0.93416847 0.94515869 0.95614891 0.96713913 0.97812934 0.98911956
 1.00010978 1.0111     1.02209021 1.03308043 1.04407065 1.05506086
 1.06605108 1.0770413  1.08803152 1.09902173]"
12,"[0.0109824  0.02196479 0.03294719 0.04392959 0.05491199 0.06589438
 0.07687678 0.08785918 0.09884157 0.10982397 0.12080637 0.13178877
 0.14277116 0.15375356 0.16473596 0.17571835 0.18670075 0.19768315
 0.20866554 0.21964794 0.23063034 0.24161274 0.25259513 0.26357753
 0.27455993 0.28554232 0.29652472 0.30750712 0.31848952 0.32947191
 0.34045431 0.35143671 0.3624191  0.3734015  0.3843839  0.3953663
 0.40634869 0.41733109 0.42831349 0.43929588 0.45027828 0.46126068
 0.47224308 0.48322547 0.49420787 0.50519027 0.51617266 0.52715506
 0.53813746 0.54911985 0.56010225 0.57108465 0.58206705 0.59304944
 0.60403184 0.61501424 0.62599663 0.63697903 0.64796143 0.65894383
 0.66992622 0.68090862 0.69189102 0.70287341 0.71385581 0.72483821
 0.73582061 0.746803   0.7577854  0.7687678  0.77975019 0.79073259
 0.80171499 0.81269738 0.82367978 0.83466218 0.84564458 0.85662697
 0.86760937 0.87859177 0.88957416 0.90055656 0.91153896 0.92252136
 0.93350375 0.94448615 0.95546855 0.96645094 0.97743334 0.98841574
 0.99939814 1.01038053 1.02136293 1.03234533 1.04332772 1.05431012
 1.06529252 1.07627492 1.08725731 1.09823971]"
13,"[0.01097352 0.02194705 0.03292057 0.04389409 0.05486761 0.06584114
 0.07681466 0.08778818 0.0987617  0.10973523 0.12070875 0.13168227
 0.1426558  0.15362932 0.16460284 0.17557636 0.18654989 0.19752341
 0.20849693 0.21947045 0.23044398 0.2414175  0.25239102 0.26336455
 0.27433807 0.28531159 0.29628511 0.30725864 0.31823216 0.32920568
 0.3401792  0.35115273 0.36212625 0.37309977 0.3840733  0.39504682
 0.40602034 0.41699386 0.42796739 0.43894091 0.44991443 0.46088795
 0.47186148 0.482835   0.49380852 0.50478205 0.51575557 0.52672909
 0.53770261 0.54867614 0.55964966 0.57062318 0.5815967  0.59257023
 0.60354375 0.61451727 0.6254908  0.63646432 0.64743784 0.65841136
 0.66938489 0.68035841 0.69133193 0.70230545 0.71327898 0.7242525
 0.73522602 0.74619955 0.75717307 0.76814659 0.77912011 0.79009364
 0.80106716 0.81204068 0.8230142  0.83398773 0.84496125 0.85593477
 0.8669083  0.87788182 0.88885534 0.89982886 0.91080239 0.92177591
 0.93274943 0.94372295 0.95469648 0.96567    0.97664352 0.98761705
 0.99859057 1.00956409 1.02053761 1.03151114 1.04248466 1.05345818
 1.0644317  1.07540523 1.08637875 1.09735227]"
14,"[0.01096485 0.02192969 0.03289454 0.04385938 0.05482423 0.06578908
 0.07675392 0.08771877 0.09868361 0.10964846 0.1206133  0.13157815
 0.142543   0.15350784 0.16447269 0.17543753 0.18640238 0.19736723
 0.20833207 0.21929692 0.23026176 0.24122661 0.25219146 0.2631563
 0.27412115 0.28508599 0.29605084 0.30701569 0.31798053 0.32894538
 0.33991022 0.35087507 0.36183991 0.37280476 0.38376961 0.39473445
 0.4056993  0.41666414 0.42762899 0.43859384 0.44955868 0.46052353
 0.47148837 0.48245322 0.49341807 0.50438291 0.51534776 0.5263126
 0.53727745 0.54824229 0.55920714 0.57017199 0.58113683 0.59210168
 0.60306652 0.61403137 0.62499622 0.63596106 0.64692591 0.65789075
 0.6688556  0.67982045 0.69078529 0.70175014 0.71271498 0.72367983
 0.73464468 0.74560952 0.75657437 0.76753921 0.77850406 0.7894689
 0.80043375 0.8113986  0.82236344 0.83332829 0.84429313 0.85525798
 0.86622283 0.87718767 0.88815252 0.89911736 0.91008221 0.92104706
 0.9320119  0.94297675 0.95394159 0.96490644 0.97587128 0.98683613
 0.99780098 1.00876582 1.01973067 1.03069551 1.04166036 1.05262521
 1.06359005 1.0745549  1.08551974 1.09648459]"
15,"[0.0109518  0.02190359 0.03285539 0.04380718 0.05475898 0.06571077
 0.07666257 0.08761436 0.09856616 0.10951796 0.12046975 0.13142155
 0.14237334 0.15332514 0.16427693 0.17522873 0.18618052 0.19713232
 0.20808411 0.21903591 0.22998771 0.2409395  0.2518913  0.26284309
 0.27379489 0.28474668 0.29569848 0.30665027 0.31760207 0.32855387
 0.33950566 0.35045746 0.36140925 0.37236105 0.38331284 0.39426464
 0.40521643 0.41616823 0.42712002 0.43807182 0.44902362 0.45997541
 0.47092721 0.481879   0.4928308  0.50378259 0.51473439 0.52568618
 0.53663798 0.54758978 0.55854157 0.56949337 0.58044516 0.59139696
 0.60234875 0.61330055 0.62425234 0.63520414 0.64615593 0.65710773
 0.66805953 0.67901132 0.68996312 0.70091491 0.71186671 0.7228185
 0.7337703  0.74472209 0.75567389 0.76662569 0.77757748 0.78852928
 0.79948107 0.81043287 0.82138466 0.83233646 0.84328825 0.85424005
 0.86519184 0.87614364 0.88709544 0.89804723 0.90899903 0.91995082
 0.93090262 0.94185441 0.95280621 0.963758   0.9747098  0.9856616
 0.99661339 1.00756519 1.01851698 1.02946878 1.04042057 1.05137237
 1.06232416 1.07327596 1.08422775 1.09517955]"
16,"[0.01094386 0.02188773 0.03283159 0.04377545 0.05471932 0.06566318
 0.07660705 0.08755091 0.09849477 0.10943864 0.1203825  0.13132636
 0.14227023 0.15321409 0.16415796 0.17510182 0.18604568 0.19698955
 0.20793341 0.21887727 0.22982114 0.240765   0.25170887 0.26265273
 0.27359659 0.28454046 0.29548432 0.30642818 0.31737205 0.32831591
 0.33925977 0.35020364 0.3611475  0.37209137 0.38303523 0.39397909
 0.40492296 0.41586682 0.42681068 0.43775455 0.44869841 0.45964228
 0.47058614 0.48153    0.49247387 0.50341773 0.51436159 0.52530546
 0.53624932 0.54719318 0.55813705 0.56908091 0.58002478 0.59096864
 0.6019125  0.61285637 0.62380023 0.63474409 0.64568796 0.65663182
 0.66757569 0.67851955 0.68946341 0.70040728 0.71135114 0.722295
 0.73323887 0.74418273 0.7551266  0.76607046 0.77701432 0.78795819
 0.79890205 0.80984591 0.82078978 0.83173364 0.8426775  0.85362137
 0.86456523 0.8755091  0.88645296 0.89739682 0.90834069 0.91928455
 0.93022841 0.94117228 0.95211614 0.96306001 0.97400387 0.98494773
 0.9958916  1.00683546 1.01777932 1.02872319 1.03966705 1.05061091
 1.06155478 1.07249864 1.08344251 1.09438637]"
17,"[0.01093521 0.02187041 0.03280562 0.04374083 0.05467604 0.06561124
 0.07654645 0.08748166 0.09841687 0.10935207 0.12028728 0.13122249
 0.1421577  0.1530929  0.16402811 0.17496332 0.18589853 0.19683373
 0.20776894 0.21870415 0.22963936 0.24057456 0.25150977 0.26244498
 0.27338018 0.28431539 0.2952506  0.30618581 0.31712101 0.32805622
 0.33899143 0.34992664 0.36086184 0.37179705 0.38273226 0.39366747
 0.40460267 0.41553788 0.42647309 0.4374083  0.4483435  0.45927871
 0.47021392 0.48114913 0.49208433 0.50301954 0.51395475 0.52488995
 0.53582516 0.54676037 0.55769558 0.56863078 0.57956599 0.5905012
 0.60143641 0.61237161 0.62330682 0.63424203 0.64517724 0.65611244
 0.66704765 0.67798286 0.68891807 0.69985327 0.71078848 0.72172369
 0.7326589  0.7435941  0.75452931 0.76546452 0.77639972 0.78733493
 0.79827014 0.80920535 0.82014055 0.83107576 0.84201097 0.85294618
 0.86388138 0.87481659 0.8857518  0.89668701 0.90762221 0.91855742
 0.92949263 0.94042784 0.95136304 0.96229825 0.97323346 0.98416867
 0.99510387 1.00603908 1.01697429 1.02790949 1.0388447  1.04977991
 1.06071512 1.07165032 1.08258553 1.09352074]"
18,"[0.01092731 0.02185462 0.03278193 0.04370924 0.05463655 0.06556386
 0.07649117 0.08741847 0.09834578 0.10927309 0.1202004  0.13112771
 0.14205502 0.15298233 0.16390964 0.17483695 0.18576426 0.19669157
 0.20761888 0.21854619 0.2294735  0.24040081 0.25132812 0.26225542
 0.27318273 0.28411004 0.29503735 0.30596466 0.31689197 0.32781928
 0.33874659 0.3496739  0.36060121 0.37152852 0.38245583 0.39338314
 0.40431045 0.41523776 0.42616506 0.43709237 0.44801968 0.45894699
 0.4698743  0.48080161 0.49172892 0.50265623 0.51358354 0.52451085
 0.53543816 0.54636547 0.55729278 0.56822009 0.5791474  0.59007471
 0.60100201 0.61192932 0.62285663 0.63378394 0.64471125 0.65563856
 0.66656587 0.67749318 0.68842049 0.6993478  0.71027511 0.72120242
 0.73212973 0.74305704 0.75398435 0.76491165 0.77583896 0.78676627
 0.79769358 0.80862089 0.8195482  0.83047551 0.84140282 0.85233013
 0.86325744 0.87418475 0.88511206 0.89603937 0.90696668 0.91789399
 0.92882129 0.9397486  0.95067591 0.96160322 0.97253053 0.98345784
 0.99438515 1.00531246 1.01623977 1.02716708 1.03809439 1.0490217
 1.05994901 1.07087632 1.08180363 1.09273094]"
19,"[0.01089354 0.02178708 0.03268063 0.04357417 0.05446771 0.06536125
 0.0762548  0.08714834 0.09804188 0.10893542 0.11982896 0.13072251
 0.14161605 0.15250959 0.16340313 0.17429668 0.18519022 0.19608376
 0.2069773  0.21787084 0.22876439 0.23965793 0.25055147 0.26144501
 0.27233856 0.2832321  0.29412564 0.30501918 0.31591273 0.32680627
 0.33769981 0.34859335 0.35948689 0.37038044 0.38127398 0.39216752
 0.40306106 0.41395461 0.42484815 0.43574169 0.44663523 0.45752877
 0.46842232 0.47931586 0.4902094  0.50110294 0.51199649 0.52289003
 0.53378357 0.54467711 0.55557065 0.5664642  0.57735774 0.58825128
 0.59914482 0.61003837 0.62093191 0.63182545 0.64271899 0.65361253
 0.66450608 0.67539962 0.68629316 0.6971867  0.70808025 0.71897379
 0.72986733 0.74076087 0.75165442 0.76254796 0.7734415  0.78433504
 0.79522858 0.80612213 0.81701567 0.82790921 0.83880275 0.8496963
 0.86058984 0.87148338 0.88237692 0.89327046 0.90416401 0.91505755
 0.92595109 0.93684463 0.94773818 0.95863172 0.96952526 0.9804188
 0.99131234 1.00220589 1.01309943 1.02399297 1.03488651 1.04578006
 1.0566736  1.06756714 1.07846068 1.08935422]"
20,"[0.01087527 0.02175053 0.0326258  0.04350107 0.05437633 0.0652516
 0.07612687 0.08700213 0.0978774  0.10875267 0.11962794 0.1305032
 0.14137847 0.15225374 0.163129   0.17400427 0.18487954 0.1957548
 0.20663007 0.21750534 0.2283806  0.23925587 0.25013114 0.2610064
 0.27188167 0.28275694 0.29363221 0.30450747 0.31538274 0.32625801
 0.33713327 0.34800854 0.35888381 0.36975907 0.38063434 0.39150961
 0.40238487 0.41326014 0.42413541 0.43501067 0.44588594 0.45676121
 0.46763648 0.47851174 0.48938701 0.50026228 0.51113754 0.52201281
 0.53288808 0.54376334 0.55463861 0.56551388 0.57638914 0.58726441
 0.59813968 0.60901494 0.61989021 0.63076548 0.64164075 0.65251601
 0.66339128 0.67426655 0.68514181 0.69601708 0.70689235 0.71776761
 0.72864288 0.73951815 0.75039341 0.76126868 0.77214395 0.78301921
 0.79389448 0.80476975 0.81564502 0.82652028 0.83739555 0.84827082
 0.85914608 0.87002135 0.88089662 0.89177188 0.90264715 0.91352242
 0.92439768 0.93527295 0.94614822 0.95702348 0.96789875 0.97877402
 0.98964928 1.00052455 1.01139982 1.02227509 1.03315035 1.04402562
 1.05490089 1.06577615 1.07665142 1.08752669]"
21,"[0.01086229 0.02172457 0.03258686 0.04344914 0.05431143 0.06517372
 0.076036   0.08689829 0.09776057 0.10862286 0.11948515 0.13034743
 0.14120972 0.152072   0.16293429 0.17379658 0.18465886 0.19552115
 0.20638343 0.21724572 0.228108   0.23897029 0.24983258 0.26069486
 0.27155715 0.28241943 0.29328172 0.30414401 0.31500629 0.32586858
 0.33673086 0.34759315 0.35845544 0.36931772 0.38018001 0.39104229
 0.40190458 0.41276687 0.42362915 0.43449144 0.44535372 0.45621601
 0.4670783  0.47794058 0.48880287 0.49966515 0.51052744 0.52138973
 0.53225201 0.5431143  0.55397658 0.56483887 0.57570116 0.58656344
 0.59742573 0.60828801 0.6191503  0.63001258 0.64087487 0.65173716
 0.66259944 0.67346173 0.68432401 0.6951863  0.70604859 0.71691087
 0.72777316 0.73863544 0.74949773 0.76036002 0.7712223  0.78208459
 0.79294687 0.80380916 0.81467145 0.82553373 0.83639602 0.8472583
 0.85812059 0.86898288 0.87984516 0.89070745 0.90156973 0.91243202
 0.92329431 0.93415659 0.94501888 0.95588116 0.96674345 0.97760574
 0.98846802 0.99933031 1.01019259 1.02105488 1.03191716 1.04277945
 1.05364174 1.06450402 1.07536631 1.08622859]"
